FIPS,Year,Scenario,CroplandArea,SoySmallGrain,Corn,FruitVeg,soysmallgrain_cropland,corn_cropland,fruitveg_cropland
1001,2050,B1,19922.4375,2396.9,0,1242.65,0.12031158335921496,0,0.062374395703337006
1001,2050,B2,13853.04375,2396.9,0,1242.65,0.17302334730589441,0,0.08970230820212345
1001,2050,A1B,43381.49375,2396.9,0,1242.65,0.05525167053520374,0,0.02864470290398887
1001,2050,A2,43458.7125,2396.9,0,1242.65,0.055153497701985535,0,0.02859380613265982
1003,2050,B1,39335.231250000004,0,0,0,0,0,0
1003,2050,B2,30424.1875,0,0,0,0,0,0
1003,2050,A1B,63164.9375,0,0,0,0,0,0
1003,2050,A2,79072,0,0,0,0,0,0
1005,2050,B1,28014.9625,2157.5,0,0,0.07701241791774663,0,0
1005,2050,B2,20184.98125,2157.5,0,0,0.1068864009967807,0,0
1005,2050,A1B,67257.53125,2157.5,0,0,0.03207819198686392,0,0
1005,2050,A2,68076.05,2157.5,0,0,0.03169249684727595,0,0
1009,2050,B1,27891.412500000002,407.04999999999995,0,0,0.01459409773527963,0,0
1009,2050,B2,23659.825,407.04999999999995,0,0,0.01720426926234661,0,0
1009,2050,A1B,37219.4375,407.04999999999995,0,0,0.010936489838139008,0,0
1009,2050,A2,47288.762500000004,407.04999999999995,0,0,0.008607753269077404,0,0
1011,2050,B1,8478.61875,0,1311.8,0,0,0.15471859729510776,0
1011,2050,B2,4895.66875,0,1311.8,0,0,0.26795113537859355,0
1011,2050,A1B,40956.825000000004,0,1311.8,0,0,0.03202884989253927,0
1011,2050,A2,57821.4,0,1311.8,0,0,0.02268710200721532,0
1013,2050,B1,9034.59375,0,2316.95,709.1,0,0.2564531471047052,0.07848720369966829
1013,2050,B2,5328.09375,0,2316.95,709.1,0,0.43485533639493484,0.1330869975776984
1013,2050,A1B,32354.65625,0,2316.95,709.1,0,0.07161102198389141,0.021916474541434822
1013,2050,A2,57558.856250000004,0,2316.95,709.1,0,0.040253579569694796,0.01231956376826025
1015,2050,B1,23227.4,0,0,70.49999999999999,0,0,0.0030352084176446773
1015,2050,B2,22625.09375,0,0,70.49999999999999,0,0,0.0031160091878072323
1015,2050,A1B,25235.0875,0,0,70.49999999999999,0,0,0.0027937291677708658
1015,2050,A2,28725.375,0,0,70.49999999999999,0,0,0.0024542760538374168
1019,2050,B1,41250.25625,0,6804.25,25.9,0,0.16495049045907442,6.27874887443881e-4
1019,2050,B2,39860.31875,0,6804.25,25.9,0,0.17070234793343192,6.49769013701126e-4
1019,2050,A1B,46516.575000000004,0,6804.25,25.9,0,0.14627581673844214,5.567907783408387e-4
1019,2050,A2,54377.44375,0,6804.25,25.9,0,0.12513000852490422,4.763004329345658e-4
1021,2050,B1,10501.75,1226.55,0,0,0.11679481991096721,0,0
1021,2050,B2,5837.7375,1226.55,0,0,0.2101070834377188,0,0
1021,2050,A1B,32555.425000000003,1226.55,0,0,0.03767574835837652,0,0
1021,2050,A2,31597.912500000002,1226.55,0,0,0.03881743770256975,0,0
1027,2050,B1,6254.71875,0,0,30.95,0,0,0.004948264060634221
1027,2050,B2,1498.04375,0,0,30.95,0,0,0.020660277778936694
1027,2050,A1B,14409.018750000001,0,0,30.95,0,0,0.0021479602835550475
1027,2050,A2,14208.25,0,0,30.95,0,0,0.002178311896257456
1029,2050,B1,6671.7,187.00000000000003,31.099999999999966,114.9,0.028028838227138517,0.004661480582160464,0.017221997391969064
1029,2050,B2,1559.8187500000001,187.00000000000003,31.099999999999966,114.9,0.1198857239022162,0.019938213975181387,0.07366240468644193
1029,2050,A1B,22825.8625,187.00000000000003,31.099999999999966,114.9,0.008192461511585817,0.0013624895882904738,0.005033763784391499
1029,2050,A2,21868.350000000002,187.00000000000003,31.099999999999966,114.9,0.008551170984550733,0.001422146618286243,0.005254168695854968
1031,2050,B1,35211.75,3782.55,0,457.5,0.10742294830560822,0,0.012992821998338623
1031,2050,B2,23505.3875,3782.55,0,457.5,0.1609226820872449,0,0.01946362296728782
1031,2050,A1B,78655.01875,3782.55,0,457.5,0.04809038329801428,0,0.005816539202083656
1031,2050,A2,87025.53125,3782.55,0,457.5,0.04346483090271282,0,0.0052570779336667366
1033,2050,B1,53651.5875,78954.70000000001,42201.55,21.9,1.471619083032725,0.7865852990836478,4.081892264604472e-4
1033,2050,B2,54593.65625,78954.70000000001,42201.55,21.9,1.4462248074839283,0.7730119742621195,4.011455085498143e-4
1033,2050,A1B,57527.96875,78954.70000000001,42201.55,21.9,1.3724576360954863,0.7335831755749243,3.806843953620386e-4
1033,2050,A2,58948.793750000004,78954.70000000001,42201.55,21.9,1.339377703551398,0.715901841502906,3.7150887417437606e-4
