FIPS,Year,SDI
1001,2007,0.5021173340914361
1001,2012,0.5969579068555376
1001,2017,0.5622496204311269
1003,2007,0.8605785815588666
1003,2012,0.815070865864517
1003,2017,0.8558803837594241
1005,2007,0.6520845856838695
1005,2012,0.7021431131030003
1005,2017,0.6903458779778225
1007,2007,0.5081707850159033
1007,2012,0.40068610675166716
1007,2017,0.4511817515973072
1009,2007,0.5306825995199445
1009,2012,0.5927891372608783
1009,2017,0.6005876451074527
1011,2007,0.6516727216445475
1011,2012,0.8093760753782527
1011,2017,0.7726708149652559
1013,2007,0.6241203149581646
1013,2012,0.6055775579067534
1013,2017,0.544137517849254
1015,2007,0.7576353987428772
1015,2012,0.7370789261481225
1015,2017,0.7083564486286827
1017,2007,0.49131785865855315
1017,2012,0.368290027094741
1017,2017,0.20428715425850796
1019,2007,0.750021084907995
1019,2012,0.7067668577420645
1019,2017,0.6942432976865137
1021,2007,0.47933415812065905
1021,2012,0.4804144767776055
1021,2017,0.5086119353545873
1023,2007,0.6922003153285625
1023,2012,0.7690055118001935
1023,2017,0.5407641802338748
1025,2007,0.7246095009449358
1025,2012,0.586573564335674
1025,2017,0.7002826781995257
1027,2007,0.16925350835132125
1027,2012,0.24365211883978333
1027,2017,0.28289977969818836
1029,2007,0.4031937444168763
1029,2012,0.4732308885462039
1029,2017,0.38054102409581636
1031,2007,0.7577871652036303
1031,2012,0.7807945876680852
1031,2017,0.7656685579189888
1033,2007,0.7740363747430515
1033,2012,0.7516371569878258
1033,2017,0.7175447779100994
1035,2007,0.7373049819335407
1035,2012,0.6482904247007117
1035,2017,0.6305756181550758
1037,2007,0.4785601105022793
1037,2012,0.4941307130199535
1037,2017,0.4735244787681726
1039,2007,0.7268451939169395
1039,2012,0.7623256760764117
1039,2017,0.7393398720774909
1041,2007,0.5884631390530759
1041,2012,0.5035437345789058
1041,2017,0.5073754339823411
1043,2007,0.6831871867555288
1043,2012,0.6580832013458577
1043,2017,0.670186797065035
1045,2007,0.7334497426276745
1045,2012,0.7786428374976098
1045,2017,0.7695970846529823
1047,2007,0.5676570920695245
1047,2012,0.6885020954911139
1047,2017,0.7195382630406733
1049,2007,0.7129634494832445
1049,2012,0.6957814502498194
1049,2017,0.6971114298058672
1051,2007,0.5987976320411733
1051,2012,0.7110948581587975
1051,2017,0.7021152196032325
1053,2007,0.8582301112500044
1053,2012,0.7575095633859344
1053,2017,0.7429448738299771
1055,2007,0.7579748433248532
1055,2012,0.7430094244368752
1055,2017,0.7589258494573826
1057,2007,0.7126598295436922
1057,2012,0.65190012577132
1057,2017,0.7081532760090546
1059,2007,0.7377859304737061
1059,2012,0.7680197358154548
1059,2017,0.7368742835195605
1061,2007,0.7547821100956486
1061,2012,0.7749764207274173
1061,2017,0.811152913401076
1063,2007,0.2944815768863287
1063,2012,0.3245816023447744
1063,2017,0.23089612062980347
1065,2007,0.43677521026681554
1065,2012,0.6247951214762952
1065,2017,0.6782254347691397
1067,2007,0.7948235777008402
1067,2012,0.7783238176703147
1067,2017,0.7999561847824811
1069,2007,0.7723092029927339
1069,2012,0.752477974366371
1069,2017,0.7838682907946689
1071,2007,0.7218623467421816
1071,2012,0.7063783442107443
1071,2017,0.688980421071962
1073,2007,0.5625770478304686
1073,2012,0.5809579909116313
1073,2017,0.534228990563754
1075,2007,0.6834421953953802
1075,2012,0.678848131306844
1075,2017,0.713286506084416
1077,2007,0.7446050974760736
1077,2012,0.7898014839267075
1077,2017,0.761535066861912
1079,2007,0.7462728318931999
1079,2012,0.7619902921228947
1079,2017,0.7094486521104131
1081,2007,0.6522931957372258
1081,2012,0.6951193436763674
