"","State","Scenario","Estimate","SE","CI_95L","CI_95H","Tval","pval","psig","insect_current_kha","insect_2050_kha","PC_insect","cropland_current_kha","cropland_2050_kha","PC_cropland","insect_cropland_current","insect_cropland_2050","PC_insectcropland"
"1",1,"B1",13.9547,6.6544,0.8353,27.0741,2.097,"0.0372","*",361.051497369486,375.006197369486,3.86501651472707,556.05249,695.5375,25.0848638408219,0.649311897460411,0.539160285922019,-16.9643605745124
"2",1,"A2",51.142,7.603,36.153,66.131,6.727,"0.000000000168","***",361.051497369486,412.193497369486,14.1647383746101,556.05249,1392.10625,150.355186791808,0.649311897460411,0.296093417703919,-54.3988922947508
"3",104,"B1",43.03,11.63,19.97,66.09,3.699,"0.000342","***",308.982598138405,352.012598138405,13.9263506292109,842.6552625,497.5125,-40.9589517635036,0.366677349431975,0.707545233815041,92.9612600590432
"4",104,"A2",45.35,12.13,21.31,69.39,3.739,"0.000297","***",308.982598138405,354.332598138406,14.6772019761728,842.6552625,513.6125,-39.0483246403508,0.366677349431975,0.68988312811391,88.1444624770569
"5",5,"B1",-19.69,38.09,-94.8,55.42,-0.517,"0.606",NA,1229.29229057062,1209.60229057062,-1.6017346038069,2789.8130475,2831.00625,1.47655781224889,0.440636081931085,0.427269381892258,-3.03350101976382
"6",5,"A2",-14.98,39.59,-93.05,63.08,-0.379,"0.705",NA,1229.29229057062,1214.31229057062,-1.21858732173831,2789.8130475,3077.475,10.3111551778632,0.440636081931085,0.394580716519426,-10.4520186385604
"7",6,"B1",-46.63,10.06,-66.51,-26.75,-4.634,"0.00000776","***",2329.25546337515,2282.62546337515,-2.00192725672228,3844.3836375,3135.6625,-18.4352344700146,0.605885281753479,0.727956361175717,20.1475564927002
"8",6,"A2",-43.8,10.74,-65.03,-22.58,-4.078,"0.0000738","***",2329.25546337515,2285.45546337515,-1.88042920532782,3844.3836375,3150.35,-18.0531836294915,0.605885281753479,0.725460810187805,19.7356714274797
"9",105,"B1",-45.88,16.21,-78.08,-13.69,-2.831,"0.00572","**",333.501517604209,287.621517604209,-13.7570588372702,1801.05516,1448.275,-19.5874156347327,0.185170074193735,0.198595927986197,7.25055268834366
"10",105,"A2",-58.99,14.95,-88.68,-29.3,-3.946,"0.000156","***",333.501517604209,274.511517604209,-17.6880754317909,1801.05516,1704.6125,-5.35478657966255,0.185170074193735,0.161040422737841,-13.0310751134914
"11",100,"B1",6.041,4.147,-2.137,14.219,1.457,"0.147",NA,95.2501011736139,101.291101173614,6.34225048117163,176.4170325,723.2625,309.973169682468,0.53991442789751,0.140047494752754,-74.0611683043708
"12",100,"A2",21.638,4.958,11.861,31.415,4.365,"0.0000206","***",95.2501011736139,116.888101173614,22.7170362376414,176.4170325,1184.7125,571.540884239735,0.53991442789751,0.0986636852178178,-81.7260513666905
"13",101,"B1",206.64,65.69,76.54,336.74,3.146,"0.0021","**",324.147106434642,530.787106434642,63.7488337541785,874.54449,474.08125,-45.7910654722666,0.370646788289343,1.11961210538202,202.06982516951
"14",101,"A2",243.18,74.74,95.16,391.21,3.254,"0.00149","**",324.147106434642,567.327106434642,75.0214933814418,874.54449,554.43125,-36.603425401491,0.370646788289343,1.02325961322462,176.074053669073
"15",12,"B1",329.23,173.99,-13.91,672.36,1.892,"0.0599",".",580.342978551194,909.572978551194,56.7302461075537,870.69915,1073.53125,23.2953138865474,0.666525261396194,0.847272008664111,27.1177639823134
"16",12,"A2",330.87,178.59,-21.34,683.08,1.853,"0.0654",".",580.342978551194,911.212978551194,57.0128376199201,870.69915,1496.81875,71.9099817658028,0.666525261396194,0.60876641113107,-8.66566559594974
"17",13,"B1",28.6,9.914,9.117,48.084,2.885,"0.0041","**",872.675637393768,901.275637393768,3.27727723503471,1799.29584,1624.75625,-9.70043870050853,0.485009534281904,0.554714368628382,14.3718482667937
"18",13,"A2",32.94,11.895,9.563,56.317,2.769,"0.00585","**",872.675637393768,905.615637393768,3.77459832594556,1799.29584,2601.7,44.5954546307404,0.485009534281904,0.348086111924422,-28.2310785003863
"19",16,"B1",-59.8,40.17,-139.43,19.82,-1.489,"0.139",NA,520.312019425334,460.512019425334,-11.4931037084338,2003.6546775,1735.79375,-13.3686173824232,0.25968148367489,0.265303420654288,2.16493563570207
"20",16,"A2",-39,44.03,-126.28,48.28,-0.886,"0.378",NA,520.312019425334,481.312019425334,-7.4955024185438,2003.6546775,1852.0625,-7.56578362540718,0.25968148367489,0.259878929261477,0.0760337563511681
"21",17,"B1",219.5,81.6,59,380,2.69,"0.00749","**",3235.3372116552,3454.8372116552,6.78445508583335,9013.528935,7810.5,-13.3469248689997,0.358942344889161,0.442332400186313,23.2321587253526
"22",17,"A2",258.63,88.57,84.43,432.82,2.92,"0.00372","**",3235.3372116552,3493.9672116552,7.99391170318487,9013.528935,7811.85625,-13.3318780431696,0.358942344889161,0.44726465769966,24.6062672928079
"23",18,"B1",76.99,15.95,45.62,108.36,4.827,"0.00000212","***",1473.59864427357,1550.58864427357,5.22462478499043,5075.1323775,4845.775,-4.51923931121145,0.290356691148905,0.319987751035402,10.2050549512914
"24",18,"A2",77.72,16.75,44.78,110.66,4.641,"0.000005","***",1473.59864427357,1551.31864427357,5.27416337562613,5075.1323775,5031.5,-0.859728855417428,0.290356691148905,0.308321304635511,6.18708438077411
"25",19,"B1",-2.283,43.933,-88.675,84.11,-0.052,"0.959",NA,2967.07982598138,2964.79682598138,-0.0769443403581089,9942.9338475,9459.6125,-4.86095306388391,0.298410898783905,0.313416308118476,5.02843877208287
"26",19,"A2",9.948,47.963,-84.369,104.265,0.207,"0.836",NA,2967.07982598138,2977.02782598138,0.335279149313399,9942.9338475,9627.225,-3.17520816634398,0.298410898783905,0.309230107947138,3.62560791422961
"27",20,"B1",-84.57,32,-147.48,-21.65,-2.643,"0.00856","**",1387.6271752327,1303.0571752327,-6.09457651950481,9467.2586025,9177.94375,-3.05595172422567,0.146571170546273,0.141977027831828,-3.13441087856703
"28",20,"A2",-96.62,30.41,-156.41,-36.82,-3.177,"0.00161","**",1387.6271752327,1291.0071752327,-6.96296539333752,9467.2586025,9567.125,1.05486077536349,0.146571170546273,0.134942020223703,-7.93413212109012
"29",21,"B1",103.12,14.74,74.13,132.11,6.994,"0.0000000000117","***",588.431505463375,691.551505463375,17.5245545220757,1167.2669925,1260.65,8.00014119306129,0.504110464224726,0.548567410037183,8.81888970125377
"30",21,"A2",105.95,15.23,76,135.89,6.956,"0.0000000000148","***",588.431505463375,694.381505463375,18.0054941002126,1167.2669925,1687.65,44.5813177999206,0.504110464224726,0.41144876334748,-18.3812294037083
"31",22,"B1",132.6,49.63,34.23,230.98,2.672,"0.00871","**",698.943140428976,831.543140428976,18.9715003023875,1472.58999,1640.225,11.3836852849991,0.474635265196238,0.506968946595117,6.8123217488929
"32",22,"A2",151.91,58.38,36.21,267.62,2.602,"0.0106","*",698.943140428976,850.853140428976,21.734242918067,1472.58999,1960.3375,33.1217455851374,0.474635265196238,0.43403400711815,-8.5542017324191
"33",26,"B1",59.51,9.854,40.106,78.914,6.039,"0.00000000535","***",712.011129097531,771.521129097531,8.35801542532467,3402.14256,3368.4375,-0.990700989320101,0.209283155111975,0.229044216820865,9.44226098766375
"34",26,"A2",61.324,9.982,41.667,80.981,6.143,"0.00000000303","***",712.011129097531,773.335129097531,8.6127867239558,3402.14256,3729.625,9.6257706496579,0.209283155111975,0.207349298950305,-0.924038134189618
"35",27,"B1",213.36,45.01,124.77,301.95,4.74,"0.00000338","***",2162.16663294213,2375.52663294213,9.86787959583274,8439.094035,7886.53125,-6.54765526617337,0.25620838255562,0.301213113552568,17.5656746855965
"36",27,"A2",234.9,49.22,138.03,331.77,4.773,"0.00000291","***",2162.16663294213,2397.06663294213,10.864102535907,8439.094035,8303.1625,-1.61073611025357,0.25620838255562,0.288693209718842,12.679064923323
"37",28,"B1",-10.011,7.412,-24.634,4.612,-1.351,"0.178",NA,725.09055038446,715.07955038446,-1.38065514640784,1230.2223075,1114.8,-9.38223171505937,0.5893979860095,0.641442007879853,8.83003048970615
"38",28,"A2",-13.073,7.725,-28.315,2.17,-1.692,"0.0923",".",725.09055038446,712.01755038446,-1.80294723094493,1230.2223075,1767.4375,43.668139426906,0.5893979860095,0.402853028966772,-31.6500838941993
"39",29,"B1",-21.919,14.514,-50.457,6.619,-1.51,"0.132",NA,1246.17219749089,1224.25319749089,-1.75890619644162,3686.8193325,3687.74375,0.0250735774289501,0.33800739474963,0.331978922746705,-1.78353257844855
"40",29,"A2",-18.04,15.23,-47.98,11.9,-1.185,"0.237",NA,1246.17219749089,1228.13219749089,-1.44763300259166,3686.8193325,3986.89375,8.13911370309871,0.33800739474963,0.308042369448871,-8.86519814838807
"41",103,"B1",-44.06,12.62,-68.99,-19.13,-3.491,"0.000629","***",301.96954674221,257.90954674221,-14.5908752969762,4707.2472975,6886.5125,46.2959573774125,0.0641499219517497,0.0374514018151001,-41.6189440678211
"42",103,"A2",-42.01,13.3,-68.29,-15.73,-3.158,"0.00191","**",301.96954674221,259.95954674221,-13.9119988930088,4707.2472975,7259.5375,54.2204401254957,0.0641499219517497,0.0358093813472566,-44.178604965115
"43",31,"B1",39.35,24.24,-8.35,87.04,1.623,"0.106",NA,2087.03500607042,2126.38500607042,1.88544992707574,7360.844535,6888.91875,-6.41129944744853,0.283532004533827,0.308667453229931,8.86511867943451
"44",31,"A2",48.431,25.58,-1.896,98.759,1.893,"0.0592",".",2087.03500607042,2135.46600607042,2.3205648136774,7360.844535,7361.69375,0.0115369234598321,0.283532004533827,0.290078082380215,2.30876153016695
"45",36,"B1",20.98,4.27,12.55,29.41,4.914,"0.00000201","***",284.043504653986,305.023504653986,7.38619248680137,974.22264,586.95625,-39.751323167772,0.291559129291007,0.519669915183604,78.2382587186691
"46",36,"A2",21.446,4.272,13.016,29.876,5.02,"0.00000124","***",284.043504653986,305.489504653986,7.55025186234233,974.22264,889.91875,-8.65345215134808,0.291559129291007,0.343277973021679,17.7387152501237
"47",37,"B1",15.192,5.967,3.454,26.93,2.546,"0.0113","*",931.470153783893,946.662153783893,1.63097013235323,1721.6980425,1572.30625,-8.67700309881719,0.541018303320684,0.602085092381903,11.287379500176
"48",37,"A2",21.147,7.17,7.043,35.25,2.949,"0.00341","**",931.470153783893,952.617153783893,2.27028208194272,1721.6980425,2156.90625,25.2778476107259,0.541018303320684,0.441659044654302,-18.3652305396196
