Scenario,Estimate,SE,CI_95L,CI_95H,Tval,pval,psig,insect_current_kha,insect_2050_kha,PC_insect,cropland_current_kha,cropland_2050_kha,PC_cropland,insect_cropland_current,insect_cropland_2050,PC_insectcropland
B1,-490.87,41.64,-572.49,-409.25,-11.79,<0.0000000000000002,***,35650.95356131121,35160.08356131121,-1.3768776174691157,121843.2310425,121851.9375,0.007145622637797473,0.2925969153664009,0.2885475954070177,-1.3839243500952578
A2,-446.86,43.04,-531.24,-362.49,-10.38,<0.0000000000000002,***,35650.95356131121,35204.09356131121,-1.2534307090314065,121843.2310425,134431.375,10.3314265797081,0.2925969153664009,0.26187408676963403,-10.50005211377386
