statefips,statefips_comb
1,1
4,104
5,5
6,6
8,105
9,100
10,101
12,12
13,13
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,100
24,101
25,100
26,26
27,27
28,28
29,29
30,103
31,31
32,104
33,100
34,101
35,105
36,36
37,37
38,38
39,39
40,40
41,102
42,42
44,100
45,45
46,46
47,47
48,48
49,104
50,100
51,51
53,102
54,54
55,55
56,103
