FIPS,Scenario,annprcp,tmean_Jan,tmean_Apr,tmean_Jul,tmean_Oct,tminavg,tmaxavg,annualGDD,bio5,bio6
31039,Current,717.3763904239028,21.98181593354959,50.03135685569419,76.15653718060175,51.713338066116414,19.4405795252596,83.5658387551611,2969.7470839835264,86.03308388799529,13.7125342836728
31039,RCP45,700.079353001833,27.45907009405362,53.98995981880278,81.38109706528624,54.359369035581295,23.280237957198352,88.99067562866635,3801.317763190647,92.0531799010404,19.256118717810907
31039,RCP85,740.1006529328423,25.89931463622121,53.03548911336582,81.79812252960504,55.343102355310364,24.551847004775947,89.0851057388389,3832.9590657366703,92.30015142432507,18.155787504958806
53069,Current,2088.96301235078,41.88338827669212,49.24245055568983,62.68033415886477,52.5650855033875,38.27881983083293,71.6171646956461,1527.765489978361,73.63484554196727,37.557683776171444
53069,RCP45,2205.8568377276783,44.37740718671059,49.995885995038456,64.42703566070747,54.06548466407004,39.704174258284304,73.99400405399301,1852.1543880767083,75.58184955889378,38.656238400529006
53069,RCP85,2095.076484363851,43.35499929444507,50.5236601857901,66.10393934125854,55.57119032851491,41.17170729697881,75.2270983586384,2194.089342990496,77.20381850242295,38.48745672859326
35011,Current,334.33386370352343,40.09750598391141,59.94457727973888,79.17794937948821,60.12256423279242,33.24274202640424,89.54352664085945,4347.959212195857,90.55030783314653,28.960569204399285
35011,RCP45,314.7298101577437,44.053793805226526,63.296191758079054,82.7676603998095,62.734676616331534,35.51377240708799,93.66000090582573,5100.0707905346835,94.55201556072666,32.297181135150936
35011,RCP85,370.0068307094306,42.789445479727604,63.6115902441732,81.88509012337188,62.71635799656818,36.571674250522655,92.78018484545942,5147.371475670398,94.9521742310944,31.748601118081403
31109,Current,754.726435456929,24.953455562147877,52.198201535978804,77.87183444655395,53.858726282999605,22.075586930457998,85.21447426574521,3352.3735220576114,87.65602050864315,16.500198150489673
31109,RCP45,737.7742195861698,30.168192312157537,56.18100504763677,82.92873503271707,56.50204132169778,25.52323496255177,90.59293144013455,4169.969979347895,93.60588962976746,21.509035522497385
31109,RCP85,779.2448418716339,28.60060176422558,55.235257192985706,83.19392126053138,57.53667002571812,26.70550930626125,90.61559052727098,4207.623711536385,93.66818080369487,20.524731969859015
31129,Current,692.9913272395246,26.23050965135961,52.33752494035336,78.2726084043023,54.018600401267,22.64633944831288,85.95028215993602,3396.807607231587,88.51458364532107,17.238664550162632
31129,RCP45,669.864422510663,31.04192436260258,56.28252355947546,83.53171077941116,56.5018518191959,25.803883964182443,91.53799552974579,4224.229119354352,94.80133123169949,21.82452876552175
31129,RCP85,719.6562763159828,29.1888344643076,55.284425550467425,83.23119088086591,57.475629710849155,26.956213149576755,91.09905076922743,4217.6213131084005,94.22622047325795,20.51463332688972
46099,Current,647.8383073884215,16.801120531140167,46.720262684324005,73.7600237572558,48.43449333601655,14.933620880905918,81.09379347173714,2533.2304468845423,83.6688770147418,8.735422400928956
46099,RCP45,626.7536814289634,22.81715040920524,50.79308450128236,79.07386818134253,51.214476937106305,19.61901384189637,86.47812204254159,3242.5546917925553,89.54453621131806,15.226192861400076
46099,RCP85,659.5355233201698,21.39192131323144,49.985791069684815,79.78667810872658,52.04094809117956,20.992812747626317,86.75439185141094,3289.2038165839544,90.25035913765042,14.057946917797974
48327,Current,607.6026579743447,46.704514601878124,66.14818062481936,82.16966170519632,66.86589063296996,40.70317498121718,90.9907369555997,5742.332523734968,91.79163557448207,36.11595197233901
48327,RCP45,631.0926351897924,50.39174645676198,69.75738213978488,84.96903612246554,69.70003094042286,42.78115484439872,94.2330427879847,6603.567545538893,95.19454248745289,38.888285039633324
48327,RCP85,662.0254034227099,49.81064164181549,70.55243680710743,84.98668561680832,70.34530902664902,43.95678592510421,94.03178656556678,6841.324648124674,94.48688764021661,39.32150355696513
06091,Current,1155.2827071432519,30.11779930553313,42.9733326389842,66.60844073580604,48.925827137431135,23.704758067246246,78.25179349437884,1609.66438766844,81.52361036257068,20.82742701344136
06091,RCP45,1170.4848072992063,33.60433259575788,43.945807943627585,69.90702884100828,51.47740252932105,25.72224448567284,82.32190875763366,2136.126053069951,85.23704924278964,22.980342021724976
06091,RCP85,1162.1781374986153,31.804044639483642,44.73295979661535,71.17870124498418,52.43834863448267,26.91018146885337,82.878669862856,2297.9223711502445,86.28087695760809,22.14105903371357
21053,Current,1360.7892025449883,36.53179546796007,57.68970435084879,76.90367159621132,57.965843334761026,33.64119706347256,83.61204022543343,3824.789732158315,84.62801939300087,29.296846670890098
21053,RCP45,1495.4722285263572,40.945654216222096,62.814619957987354,80.72532554120052,61.875118153590876,37.44858682938867,87.7139767994636,4706.076061592308,88.83130375750702,33.38417764455529
21053,RCP85,1490.0596696637992,41.00063618213715,62.898930454481814,81.16765462044444,62.25236357984074,37.7996419467295,88.4837453508787,4878.225973632005,89.33480545657599,34.15531902252144
39063,Current,875.1279630443394,26.545504128730233,50.05065152154243,74.10091899827586,52.556514248499816,23.53253244509992,80.83743728667703,2813.8766911129824,82.86701448686996,19.716218075794746
39063,RCP45,891.0360774544014,32.108111860275706,54.93233923127967,78.4001723924699,55.73370160171226,27.833838662997106,85.75946283908796,3615.059285371439,88.14605672692753,25.3487358786099
39063,RCP85,907.2301760397385,31.282932435355836,54.51997489825395,79.08930535877666,56.306922901145455,27.798353186933305,86.06377955243126,3659.3610883659835,88.74161364603115,24.648729534726897
48189,Current,471.5927787720287,39.26776759307969,59.947472597971064,79.75062776034446,60.664382279203885,32.36617278975995,89.02391149340855,4393.765801406278,90.25021187881399,28.080031044832698
48189,RCP45,447.3791977950644,43.29653286966996,63.55994128651237,83.65817981356867,63.23233315827725,34.75582787491217,93.2711975484147,5141.689331296289,94.92574333177313,31.417143589523146
48189,RCP85,519.691344941382,41.636403603914715,63.80496905654312,82.33574489393942,63.49144951104401,35.52833398483162,92.05805304666647,5180.71218067965,92.70948820164489,30.542685555970102
01027,Current,1446.2804343639712,43.05633465497962,61.601052459393564,78.62895040475242,61.8142638549009,39.055616044262436,85.54077114866479,4664.781605281343,86.13790512154355,34.942778783656394
01027,RCP45,1578.6023660117116,46.889850299505895,66.39444892880617,81.58652672444587,65.800053201178,42.28132317404304,88.73559997729882,5615.138218853327,89.30384322857586,38.021122524136345
01027,RCP85,1570.8479596102482,47.76216617174506,66.8069837747964,82.10241133454234,65.84746306445973,42.956882119564256,89.63977337740025,5782.341885272942,90.49063960601846,39.7142839114428
48011,Current,531.9459768861611,37.502736624738844,58.82087034704873,80.2893620802851,59.98917627639275,30.637644007538924,89.2734924186947,4300.441607996241,90.89661309772269,26.240876051299452
48011,RCP45,500.74718246139145,41.6374132209568,62.43994189106737,84.46083443017307,62.489627355736836,33.16048631107152,93.78904965698364,5054.877390849116,95.8720948766151,29.7574132209568
48011,RCP85,577.7344469244725,39.80183064995193,62.63294559945832,83.02380801594575,62.81865340772288,33.908162552512714,92.56146714233229,5077.724186745769,93.56870213208032,28.64183064995193
39003,Current,891.3295103356693,26.58566272991286,50.515216842694215,74.27396283804678,52.5682876207694,23.683847417719093,81.18767020798524,2857.788476371133,83.19434095799296,19.68273620237636
39003,RCP45,911.8204798489819,32.0874098794937,55.38935747797373,78.52293028793187,55.81490923213029,27.918304379836112,86.03815519537382,3657.643248033308,88.4105532165711,25.237309052564118
39003,RCP85,922.7290253512997,31.27555204282316,54.990905572862495,79.25387572304955,56.34025077379151,27.891196138155504,86.47223617423194,3713.0115162242378,89.1047563786839,24.57049157157092
13189,Current,1182.3684514036938,44.97637166321338,63.15969762659428,80.40129500552396,62.95998673355639,40.43247139897997,86.80034451435473,5032.616006006386,87.86029829982544,36.53974048747321
13189,RCP45,1275.5502599866409,48.73243394678384,67.81960166496548,83.58666061454606,66.62430579823904,43.50051399565603,89.97850274076703,6056.670269311788,91.35809276530372,39.61869887221952
13189,RCP85,1309.590331434568,49.39749377215363,68.32028486031533,84.06550603319921,66.50036551589747,44.17346580636702,90.81447101246896,6209.570741670466,92.04772146630816,40.87785045993847
