year,FIPS,ed_wat,ed_ldev,ed_hdev,ed_bare,ed_df,ed_ef,ed_mf,ed_shrub,ed_grass,ed_pas,ed_crops,ed_wet,el_wat,el_ldev,el_hdev,el_bare,el_df,el_ef,el_mf,el_shrub,el_grass,el_pas,el_crops,el_wet,pland_wat,pland_ldev,pland_hdev,pland_bare,pland_df,pland_ef,pland_mf,pland_shrub,pland_grass,pland_pas,pland_crops,pland_wet,mna_wat,mna_ldev,mna_hdev,mna_bare,mna_df,mna_ef,mna_mf,mna_shrub,mna_grass,mna_pas,mna_crops,mna_wet,msidi,tec_forest_fc,tec_crops_fc,tel_forestcrop_fc,tec_shrubgrass_sgc,tec_crops_sgc,tel_shrubgrasscrop_sgc,tec_deciforest_dfLID,tec_LID_dfLID,tel_deciforestLID_dfLID,tec_mixforest_mfLID,tec_LID_mfLID,tel_mixforestLID_mfLID,tec_natural_nc,tec_crops_nc,tel_naturalcrops_nc
2001,17025,1.293142791,29.48794802,1.159930828,0.126304675,39.96358873,0.059205317,33.52007677,0.143079515,1.506281931,22.86608004,45.27652583,5.86280648,157260,3586050,141060,15360,4860000,7200,4076400,17400,183180,2780760,5506110,712980,0.228236496,5.339209461,0.227792456,0.018279642,13.14069403,0.008436758,7.145119632,0.022201994,0.271678397,8.776818158,62.07174204,2.749790931,0.538951456,10.83981636,0.653349057,0.39,5.804754813,0.488571429,2.329552279,0.6,0.910165289,5.299677259,59.11188724,6.981294363,0.581008853,4555740,5506110,2070900,200460,5506110,20340,4860000,3586050,306060,4076400,3586050,194970,4257240,5506110,2199510
2001,17185,5.221690176,29.21417534,2.221865828,0.45109375,31.57859901,0.046840434,6.278654763,0.018328866,0.436837965,10.5207689,46.53698994,9.005582667,307680,1721400,130920,26580,1860720,2760,369960,1080,25740,619920,2742120,530640,2.142033435,5.980861609,0.402318602,0.080341528,10.05185542,0.00549866,1.075140712,0.001985627,0.067511322,3.539914924,73.45842784,3.194110324,5.130731707,14.62294606,0.625488127,0.728307692,4.645411765,0.294545455,1.123244681,0.2925,0.457241379,3.806277372,93.68883117,4.296986301,0.44383984,1852560,2742120,1015620,26820,2742120,3060,1860720,1721400,146040,369960,1721400,28650,1816440,2742120,1158180
2001,17113,0.814148888,33.23881473,8.083098257,0.182202186,4.544509182,0.028316524,6.723123957,0.000976432,0.486067782,7.26836351,30.2605999,0.781340778,250140,10212330,2483460,55980,1396260,8700,2065620,300,149340,2233140,9297300,240060,0.33921243,7.125482235,1.943001766,0.03726064,1.232911222,0.004745459,1.487115493,0.000146465,0.096666755,2.828381359,84.74689421,0.158181962,2.672307692,6.019359362,1.538979118,0.930731707,3.003973037,0.662727273,2.862800752,0.45,1.020618557,5.956100069,159.6427284,1.773722628,0.2751534,2092920,9297300,836130,149640,9297300,19560,1396260,10212330,119370,2065620,10212330,162600,2066220,9297300,902790
2001,17005,2.535738912,30.73354289,2.074337905,0.331603609,39.49622877,0.084111134,45.33348098,0.107105545,0.855029014,30.28091606,44.2878404,3.450371859,251430,3047370,205680,32880,3916230,8340,4495020,10620,84780,3002490,4391340,342120,0.92491992,6.164287199,0.316233661,0.048015961,11.57665716,0.009893648,10.54091023,0.013978181,0.143140208,10.27804781,58.79695058,1.186965437,1.508388158,9.345825688,0.409347258,0.6348,4.634146145,0.3065625,3.304391401,0.462,0.508709677,4.993214111,52.19323187,5.117086957,0.615176466,4031310,4391340,1642200,95400,4391340,6330,3916230,3047370,243480,4495020,3047370,313710,3895350,4391340,1724760
2001,17009,3.166600507,23.25641887,3.563179523,0.065593868,61.12217536,0.18999603,25.7987467,0.011309288,0.508163986,39.56968915,46.34885307,6.138304293,252000,1850760,283560,5220,4864140,15120,2053080,900,40440,3148980,3688470,488490,0.754668757,3.658328329,0.497495558,0.00904743,37.11289722,0.028386312,4.5048285,0.000904743,0.075885319,12.85266599,38.29132498,2.213566848,1.062955752,3.361801386,0.375626186,0.342857143,26.5122711,0.684545455,1.508190997,0.12,0.460992366,5.502006455,27.90519231,7.103104839,0.695181587,4368060,3688470,1798860,41340,3688470,1710,4864140,1850760,349530,2053080,1850760,92820,4530870,3688470,1935300
2001,17083,4.054893715,28.015378,2.705924377,0.440442174,41.95994925,0.066957039,54.94040056,0.020885682,0.200256832,27.40324324,39.93557381,4.90567811,396060,2736390,264300,43020,4098420,6540,5366280,2040,19560,2676600,3900690,479160,2.1379874,5.462220105,0.466518563,0.066066326,18.29954306,0.007555703,15.08965947,0.002119282,0.021192824,8.751530721,47.13993622,2.555670324,3.390048701,10.82190669,0.566753731,0.504140625,7.615679591,0.246,5.375185996,0.207,0.188181818,4.508449367,45.09669931,8.851914894,0.709750522,4089240,3900690,1684740,21600,3900690,1500,4098420,2736390,372120,5366280,2736390,413880,4388880,3900690,1833900
2001,17147,0.443347235,30.25120023,3.110547394,0.094890015,3.954277774,0.018978003,5.432980501,0.002108667,0.163948858,4.741337728,29.9757556,2.093379155,50460,3443070,354030,10800,450060,2160,618360,240,18660,539640,3411720,238260,0.104379016,5.591077808,0.504261352,0.020954878,0.958547297,0.003242075,1.255553043,0.00015815,0.026252904,1.868226237,88.57152572,1.095821518,0.998319328,6.798653846,0.605411392,0.611538462,2.549018692,0.9225,2.716768061,0.09,0.807567568,5.67024,168.2947412,9.97776,0.211637205,659700,3411720,210900,18900,3411720,2070,450060,3443070,36600,618360,3443070,80910,572340,3411720,243270
2001,17151,3.524746568,17.93102637,0.357116553,0.077983857,78.92554336,20.10374329,68.7000648,0.339167887,0.764984505,31.20344565,10.9833455,8.41390118,341700,1738290,34620,7560,7651290,1948920,6660000,32880,74160,3024960,1064760,815670,1.245049418,2.905270038,0.048554235,0.007705548,48.06451493,6.376108717,13.39168506,0.052174914,0.100079284,15.63864137,8.853117405,3.317099075,1.998327815,9.234295082,0.336214286,0.169772727,27.29657293,4.55840708,2.855767708,0.733043478,0.355384615,11.84421094,21.34947761,6.160344828,0.712585658,4140990,1064760,382350,106860,1064760,1470,7651290,1738290,634980,6660000,1738290,206520,4004880,1064760,589800
2001,17011,2.430083873,29.44900464,3.561258944,0.223291387,13.92362347,0.162297302,8.062887553,0.001060767,0.736172078,7.489012778,38.05672848,3.592816753,549810,6662880,805740,50520,3150240,36720,1824240,240,166560,1694400,8610390,812880,0.755478031,5.405295745,0.615576165,0.041369901,6.077477073,0.024583268,2.152627088,7.96E-05,0.131787001,2.511431418,80.31986093,1.964433819,2.438345221,5.837498807,0.681718062,0.567272727,7.830512528,0.7416,3.466441281,0.09,0.727243902,4.018493635,113.7913901,6.432069465,0.346679753,4174200,8610390,2413770,166800,8610390,13440,3150240,6662880,464640,1824240,6662880,133260,4344420,8610390,2613270
2001,17029,1.635906002,33.98524324,4.971301249,0.214366361,25.01319352,0.173491419,22.99715056,0.038149946,1.085910953,12.67827152,37.93898552,2.027851277,216120,4489800,656760,28320,3304500,22920,3038160,5040,143460,1674930,5012130,267900,0.508416151,7.231049696,1.017854175,0.050208053,7.972180515,0.029361833,4.707839541,0.005722492,0.194292223,4.097917285,73.78403861,0.401119428,1.614591346,9.543416583,0.834174938,0.975441176,6.477287823,0.791632653,2.53755202,0.54,0.861342282,3.793812193,84.17642487,1.726123779,0.439961865,2889660,5012130,1288260,148500,5012130,18330,3304500,4489800,232830,3038160,4489800,231300,2742420,5012130,1329570
