term,estimate,std.error,statistic,p.value,model,ERS
pland_crops,0.21183205863420226,0.5621198861427279,0.3768449824605849,0.7063773459073843,ERS_twoways_var7,6
cropintensity,-0.01225526938817808,0.012071090826397152,-1.015257822547252,0.31025488778280846,ERS_twoways_var7,6
msidi,0.06595937896628806,0.09620711704036115,0.6855977083131651,0.4931427949614535,ERS_twoways_var7,6
mna_crops,-0.23213919757356397,0.2009986292917251,-1.154929256938574,0.24842492433839847,ERS_twoways_var7,6
largefarm_planted,0.06414376867885603,0.011613377445678226,5.523265645923386,4.351962457637327e-8,ERS_twoways_var7,6
natural_crops_ed,0.11746694896568782,0.09071042834496197,1.2949663132332887,0.1956628444492737,ERS_twoways_var7,6
SDI,-0.005217284740812676,0.006240799622849953,-0.8359961953769838,0.4033781974907451,ERS_twoways_var7,6
pland_crops,0.35329334913358623,0.5638505235442738,0.6265727074488483,0.5310973761422211,ERS_individual_var7,6
cropintensity,-0.016298673705837995,0.012302528319400855,-1.3248230999911859,0.18556424490599766,ERS_individual_var7,6
msidi,0.03244986381363328,0.09784473177302037,0.3316465099920789,0.7402329804308851,ERS_individual_var7,6
mna_crops,-0.08739069361102322,0.20346251582074576,-0.429517413851385,0.6676489616858525,ERS_individual_var7,6
largefarm_planted,0.0808929219739672,0.011488287015100658,7.0413388756425,3.764577896954021e-12,ERS_individual_var7,6
natural_crops_ed,0.24377326330885773,0.08945163497310794,2.7251962849213864,0.006550348650715066,ERS_individual_var7,6
SDI,-1.1098190080277055e-4,0.006132144257488459,-0.018098383883784458,0.9855643563829759,ERS_individual_var7,6
pland_crops,-0.024329756921148405,0.026178233094474694,-0.9293888106712428,0.3528520671614286,ERS_time_var7,6
cropintensity,0.017527589349895616,0.009366303753787967,1.871345389883071,0.06151114206544295,ERS_time_var7,6
msidi,-0.02999440310390135,0.00987733743779382,-3.0366891171636263,0.002437290409232037,ERS_time_var7,6
mna_crops,0.04495707475492833,0.025471681773070916,1.7649825855808898,0.07779043959698753,ERS_time_var7,6
largefarm_planted,0.11131672708355148,0.007079766498863881,15.723220123349396,2.5328727438845974e-51,ERS_time_var7,6
natural_crops_ed,0.061023498401428185,0.01024516970343237,5.956318945208286,3.277832126037139e-9,ERS_time_var7,6
SDI,0.029322904948064756,0.004441876496011597,6.601467864852629,5.814302766777723e-11,ERS_time_var7,6
