term,estimate,std.error,statistic,p.value,model,ERS
pland_crops,-0.0022719318396277116,0.004524325103302671,-0.5021592807221666,0.6158786321913443,ERS_twoways_var7,8
cropintensity,8.399576600867019e-5,5.8488633199542305e-5,1.436104101152555,0.15188676601004078,ERS_twoways_var7,8
msidi,-0.4202141670880165,0.20638279596762688,-2.0360910662046225,0.04251137329147808,ERS_twoways_var7,8
mna_crops,0.001480030281687852,0.002025075336627006,0.7308519613660455,0.46536997560074944,ERS_twoways_var7,8
largefarm_planted,0.23586743301318017,0.04684870618145133,5.034662688434424,7.758305210139898e-7,ERS_twoways_var7,8
natural_crops_ed,-0.0429549973032225,0.044655899510449,-0.9619109182465687,0.3367739505006928,ERS_twoways_var7,8
SDI,0.09958203268280319,0.06072872208714705,1.639784755225061,0.10196937097050195,ERS_twoways_var7,8
pland_crops,-0.003034448202575742,0.004499223975292062,-0.6744381296062872,0.5004857898457398,ERS_individual_var7,8
cropintensity,7.654415654073975e-5,5.818964991846876e-5,1.31542562376622,0.1892429642913991,ERS_individual_var7,8
msidi,-0.4758075142798894,0.2030511445862416,-2.3432890036125866,0.01968362146659863,ERS_individual_var7,8
mna_crops,0.00226053702067813,0.0018206973122941827,1.2415776117281814,0.21523833604970383,ERS_individual_var7,8
largefarm_planted,0.2361147120438985,0.04641357932020605,5.08719033313396,5.987602739958516e-7,ERS_individual_var7,8
natural_crops_ed,-0.03186130701630054,0.0414699421875626,-0.7682988047631323,0.44283678137207183,ERS_individual_var7,8
SDI,0.09587160783358924,0.06058079376547722,1.5825412952615185,0.11444497264187013,ERS_individual_var7,8
pland_crops,0.0025904151165512946,0.0025863602389545634,1.0015677930458637,0.317017321809982,ERS_time_var7,8
cropintensity,-1.1751957537621288e-5,1.1986887885260333e-5,-0.9804010557295754,0.3273432191205006,ERS_time_var7,8
msidi,-0.09564561603401472,0.07462893375366783,-1.2816157383370625,0.2005475459781364,ERS_time_var7,8
mna_crops,-6.848491000119512e-5,4.3459061722434753e-4,-0.1575848793943044,0.8748449727855622,ERS_time_var7,8
largefarm_planted,0.012617339984940534,0.03599208988697979,0.3505586928839295,0.7260611407572337,ERS_time_var7,8
natural_crops_ed,-0.012043814855515733,0.0066802683669184475,-1.8028938650366595,0.07198258519592328,ERS_time_var7,8
SDI,0.1072848291479107,0.04264583160924423,2.5157166620864966,0.012178668302527845,ERS_time_var7,8
pland_crops,-0.0014433351035128806,0.0038813649949972226,-0.37186276100630244,0.7101473945050414,ERS_twoways_var6,8
cropintensity,4.9676051219976445e-5,3.779280294719205e-5,1.3144315146296208,0.18928385563565486,ERS_twoways_var6,8
msidi,-0.42885385296409334,0.16039749139757972,-2.673694265586029,0.0077393623069150295,ERS_twoways_var6,8
mna_crops,-5.492221106193388e-4,0.0013732061158880727,-0.3999560621415881,0.6893540717404381,ERS_twoways_var6,8
largefarm_planted,0.19004362359553023,0.03505773269745533,5.420876051386077,9.113948989172019e-8,ERS_twoways_var6,8
natural_crops_ed,-0.035701344866532723,0.029624703269157573,-1.2051207582457568,0.2287080075860767,ERS_twoways_var6,8
pland_crops,-0.0020252889998313164,0.003927148771918124,-0.5157148652767007,0.606272761751232,ERS_individual_var6,8
cropintensity,5.584650217360386e-5,3.8179257885632264e-5,1.4627445703867437,0.1441414120759019,ERS_individual_var6,8
msidi,-0.31597953879628216,0.15676550270377415,-2.0156190829391885,0.04435373135632516,ERS_individual_var6,8
mna_crops,0.0019394990671449275,0.0012191753156684582,1.5908286874078688,0.11225585791133212,ERS_individual_var6,8
largefarm_planted,0.20089621104914443,0.035303497644952136,5.690546955702831,2.117185493865828e-8,ERS_individual_var6,8
natural_crops_ed,-0.022257540613512202,0.028886817586773663,-0.7705085735613607,0.44134819135115955,ERS_individual_var6,8
pland_crops,0.0018516426182419003,0.002123803372229721,0.8718521886034644,0.3835892355808258,ERS_time_var6,8
cropintensity,-1.711426704284819e-5,1.0226770119247985e-5,-1.6734772409362293,0.09468206958452417,ERS_time_var6,8
msidi,-0.04604429172184804,0.06035891157472604,-0.762841650397289,0.4458159322994717,ERS_time_var6,8
mna_crops,1.2485732241551713e-5,3.624711649511194e-4,0.03444613930389597,0.9725312534873454,ERS_time_var6,8
largefarm_planted,0.016550406568681276,0.029533307765154997,0.5603979987710129,0.5753880732380516,ERS_time_var6,8
natural_crops_ed,-0.008530131371217466,0.005369599696286403,-1.5885972611919055,0.11260483147381374,ERS_time_var6,8
pland_crops,-0.0021386525193298127,0.004534718133451983,-0.4716175198527272,0.6374996714023651,ERS_twoways_var6_3yrs,8
cropintensity,8.911990373978484e-5,5.8548710170048584e-5,1.522149736193085,0.1288929208352033,ERS_twoways_var6_3yrs,8
msidi,-0.4045861517510719,0.2066695616243447,-1.9576475053761064,0.051081908840701455,ERS_twoways_var6_3yrs,8
mna_crops,0.00138481530793439,0.0020292201550642917,0.6824371936570455,0.4954231546153658,ERS_twoways_var6_3yrs,8
largefarm_planted,0.241485667408943,0.04683814221331105,5.155748200028194,4.2773500557331873e-7,ERS_twoways_var6_3yrs,8
natural_crops_ed,-0.04171296374429547,0.044759264920805654,-0.9319403215870474,0.3520228695754837,ERS_twoways_var6_3yrs,8
pland_crops,-0.0028666287903228492,0.004507770559035486,-0.6359305010715126,0.525243344594439,ERS_individual_var6_3yrs,8
cropintensity,8.222408454847611e-5,5.82053507287102e-5,1.4126550827210889,0.15865861939740397,ERS_individual_var6_3yrs,8
msidi,-0.4572814297972078,0.2031549081794193,-2.2509002312331674,0.025020973782187234,ERS_individual_var6_3yrs,8
