term,estimate,std.error,statistic,df,p.value,model,ERS
pland_crops,0.02824381519815218,0.015526951081529478,1.8190187532535222,4.789746808517805,0.13113163991615895,ERS_twoways_var7,5
cropintensity,5.160783042059944e-7,4.5568311455019177e-7,1.1325376950063624,2.378408855465423,0.3585983474737563,ERS_twoways_var7,5
msidi,-0.004611917979171255,0.1988370874197456,-0.023194455516417238,2.682514262256885,0.9831104692192008,ERS_twoways_var7,5
mna_crops,0.005274702834654193,0.0032541082104167148,1.6209365188807672,50.771230192227655,0.1112262370751937,ERS_twoways_var7,5
largefarm_planted,0.054035532408091266,0.047914934162676844,1.127738842855012,56.3533510598753,0.2642089508549982,ERS_twoways_var7,5
natural_crops_ed,0.026539031260793013,0.021507494400525667,1.233943423002559,11.600193485509587,0.2416397693843674,ERS_twoways_var7,5
SDI,-0.02178039910242837,0.017073764049436183,-1.2756647590633428,117.67867589083544,0.2045864084954308,ERS_twoways_var7,5
pland_crops,0.027643542084809496,0.015062264001030574,1.8352846612513298,4.788849115424346,0.12847732670428386,ERS_individual_var7,5
cropintensity,5.414599284247357e-7,4.5308398045308636e-7,1.195054232293256,2.3574664734717454,0.33838649017226746,ERS_individual_var7,5
msidi,0.3107486944769598,0.3357719532902969,0.92547543483567,2.841436667419442,0.42641680209957056,ERS_individual_var7,5
mna_crops,0.004923839271862356,0.002833590359108806,1.737667992846699,59.79989739154398,0.08741709229135267,ERS_individual_var7,5
largefarm_planted,0.07695372938204839,0.04796863122823902,1.604251099346481,55.89902881316893,0.1142944541046448,ERS_individual_var7,5
natural_crops_ed,0.01981844232170951,0.020486857728459006,0.96737345396698,10.855534374334852,0.354415593486777,ERS_individual_var7,5
SDI,-0.00130022215811743,0.01622453298561649,-0.08013926559674252,110.62032705381102,0.9362712967035953,ERS_individual_var7,5
pland_crops,0.006226374601818247,0.0036027135104467613,1.7282458301954,6.88183452459179,0.12831055465620345,ERS_time_var7,5
cropintensity,1.0365265699868982e-7,1.1974816338377629e-7,0.8655886993982314,3.4119888742607354,0.4433099009726083,ERS_time_var7,5
msidi,0.1925354033642157,0.029726973921134697,6.47679120905511,137.10020047135694,1.5516884656601293e-9,ERS_time_var7,5
mna_crops,-4.526374752567237e-4,3.746082698141816e-4,-1.208295469508047,18.776668077794305,0.24193168945239443,ERS_time_var7,5
largefarm_planted,0.19925981361647538,0.046857313469242205,4.252480538545435,108.4797337163945,4.4964069603724285e-5,ERS_time_var7,5
natural_crops_ed,-0.0023856952579308583,0.004271370814206857,-0.5585315257565278,15.285803859658195,0.5845711071924693,ERS_time_var7,5
SDI,0.04019247413290235,0.0138081327901014,2.9107827063855454,205.53016222482583,0.004002743056107489,ERS_time_var7,5
pland_crops,0.02425035235673825,0.010323753812221411,2.348985920996133,6.168503779645735,0.055987841310038575,ERS_twoways_var6,5
cropintensity,2.9344175194326903e-7,2.939669802409545e-7,0.9982133085244644,2.3929041494753234,0.4081883176502458,ERS_twoways_var6,5
msidi,-0.3102885772678726,0.3933035929097483,-0.7889289161390265,5.819409720584544,0.4610752683299454,ERS_twoways_var6,5
mna_crops,0.006484988243055947,0.002468424038380961,2.6271775603471474,15.072618793634211,0.018982145050676115,ERS_twoways_var6,5
largefarm_planted,0.046154822460659745,0.03859974891549662,1.1957285670873883,75.87502613840792,0.23552610573648075,ERS_twoways_var6,5
natural_crops_ed,0.035804315692335116,0.016478242853774635,2.1728236444903164,17.104172433806006,0.04413079835130818,ERS_twoways_var6,5
pland_crops,0.02076195478199859,0.010068983135566775,2.0619713532601835,6.102111761092004,0.08404070719395637,ERS_individual_var6,5
cropintensity,3.128309186326064e-7,2.551692248162695e-7,1.225974326872119,2.382890171271745,0.3274944873266267,ERS_individual_var6,5
msidi,0.2915255498927461,0.3339860593394789,0.8728674198836126,10.96223240338474,0.4014507472793153,ERS_individual_var6,5
mna_crops,0.007792709325394193,0.002376361232392252,3.27926125841961,17.03344434833352,0.004414542761469435,ERS_individual_var6,5
largefarm_planted,0.06929600395484396,0.039060657777257916,1.7740613675786538,74.95624285064476,0.08011406673446082,ERS_individual_var6,5
natural_crops_ed,0.03454788953340397,0.01566964562168973,2.204765210872619,15.451580449831768,0.04300838804822205,ERS_individual_var6,5
pland_crops,0.005347760515971533,0.0033146432983735467,1.6133743617588086,7.111278027817024,0.15002801178187528,ERS_time_var6,5
cropintensity,-5.98252794203068e-8,7.924068118715591e-8,-0.7549818921799458,3.3762362152708567,0.4994698829151683,ERS_time_var6,5
msidi,0.19552307455766715,0.027130406567496063,7.206787486624551,131.92681553416736,3.9623796191526706e-11,ERS_time_var6,5
mna_crops,-6.058708891859534e-4,3.4420508157515233e-4,-1.760203209125691,18.93888026950285,0.09451495781968325,ERS_time_var6,5
largefarm_planted,0.21544317448208947,0.04356021787851943,4.945869992728608,112.05109656297613,2.685558165611599e-6,ERS_time_var6,5
natural_crops_ed,-0.0018037315728821758,0.003922392568911375,-0.4598549332309146,14.645524252532129,0.6523730226061966,ERS_time_var6,5
pland_crops,0.028574746136388118,0.015540611461564975,1.8387144036809073,4.78466033743821,0.12797556975237193,ERS_twoways_var6_3yrs,5
cropintensity,5.07574430365347e-7,4.825961296470847e-7,1.0517581869886288,2.368187136481737,0.3882417313510018,ERS_twoways_var6_3yrs,5
msidi,-0.01054499684782806,0.19570976954597927,-0.053880789253858176,2.685020260137178,0.960783555288343,ERS_twoways_var6_3yrs,5
mna_crops,0.00490309935469653,0.003171714908863491,1.5458827465843832,51.440574645253164,0.12826343172229254,ERS_twoways_var6_3yrs,5
