term,ERS,estimate,std.error,statistic,df,p.value,model
ForestCropEdge,1,-0.013157663805953426,0.006439808616501912,-2.0431762167958083,24.824990691606892,0.051787138719518004,Var5
ForestCropEdge,2,0.035680130275518675,0.013250563918062626,2.6927254187937604,33.13317083616215,0.011030458801317635,Var5
ForestCropEdge,3,0.055063185716777444,0.08233419100709011,0.6687766654807569,2.8547383958786487,0.5537259374348396,Var5
ForestCropEdge,4,-0.0015837498572488882,0.01763180867539999,-0.08982344842809835,4.046927882529936,0.932697745999219,Var5
ForestCropEdge,5,0.011357666727144836,0.023667450029692214,0.4798855268690109,5.767129083085026,0.6489644463533586,Var5
ForestCropEdge,6,0.05962830230421204,0.014760628613194954,4.039685833630999,14.109520175794293,0.00119973475258975,Var5
ForestCropEdge,7,0.02986161048994694,0.04234751862883114,0.7051560860431734,3.0369463024796506,0.530964410856859,Var5
ForestCropEdge,8,0.904496700386259,0.47894371198023045,1.8885240118229054,3.2918112290089074,0.14717311183842816,Var5
ForestCropEdge,9,0.004779735625715443,0.020255091563319564,0.23597699426702085,2.3895886395571018,0.8321753476788096,Var5
LandDiversity,1,0.013767578439276219,0.00960539222022308,1.4333176744506195,28.094087579651493,0.16280296119627025,Var5
LandDiversity,2,-0.024692774072144354,0.015972648682610738,-1.5459410998644907,34.84696420558464,0.13115326800506422,Var5
LandDiversity,3,-0.024211151904800464,0.01315628621388168,-1.8402725139298346,28.54840698996229,0.07614608195914427,Var5
LandDiversity,4,-0.012393262723351384,0.011548624706085038,-1.073137541375061,46.9190234279032,0.288697930586665,Var5
LandDiversity,5,-0.012454391536871333,0.017268762914991624,-0.7212092492195393,11.174779312374039,0.48559642691467564,Var5
LandDiversity,6,-0.045258525579753926,0.020567914030033226,-2.200443152070138,8.072660892089639,0.058656175136521126,Var5
LandDiversity,7,0.013901560042554672,0.017898945187090596,0.7766692337032804,23.05084139851933,0.4452512446164877,Var5
LandDiversity,8,-0.04411903620065946,0.029467958708741734,-1.4971867117341742,16.634633733172375,0.15307851877231565,Var5
LandDiversity,9,-0.007758275157656616,0.021489362471396413,-0.361028633026379,14.991892076717747,0.7231149738163404,Var5
LargeFarms,1,0.04849002015503973,0.009418110926779877,5.148593017434212,26.760502999685038,2.0947880415105784e-5,Var5
LargeFarms,2,-0.007505114117882129,0.015363198498777502,-0.4885124746958997,51.96733093793554,0.6272420685954931,Var5
LargeFarms,3,-0.017066524796058375,0.01288811237233862,-1.3242067032785778,31.179098509651663,0.195060340492943,Var5
LargeFarms,4,0.05432645121959598,0.013761419215548286,3.947736085113623,39.3402137336896,3.169622263975693e-4,Var5
LargeFarms,5,-0.005994521836553654,0.016050542232913897,-0.3734778395374732,32.60094499017854,0.711210580597019,Var5
LargeFarms,6,0.03670231228155073,0.012767777983471945,2.8746045184261777,43.949334851521435,0.006212769821824642,Var5
LargeFarms,7,0.04177861438879383,0.02234407725430605,1.8697847269903458,41.8820374039733,0.06851498066723749,Var5
LargeFarms,8,-0.03081472924928711,0.01887503760402681,-1.6325651845436897,28.32639520250867,0.11362915609149345,Var5
LargeFarms,9,0.08594483445248977,0.013366050495730275,6.430084524964533,32.45874909505457,2.947623182913917e-7,Var5
MeanCropArea,1,-0.01206170891990291,0.006711420669254717,-1.797191610288724,9.823055477254545,0.10306203246750802,Var5
MeanCropArea,2,0.029587044525598412,0.023768508508829493,1.2448002159919902,4.126186838959647,0.2792253122196115,Var5
MeanCropArea,3,0.008225569067743783,0.014937358563710033,0.5506709256968373,11.636510597407256,0.592274035084837,Var5
MeanCropArea,4,0.01519004385714486,0.008706714759907305,1.744635522814185,14.066331066135671,0.10284777251729142,Var5
MeanCropArea,5,-0.0172384628338355,0.036888602102905045,-0.4673113604507648,5.010150193810797,0.6598965168695199,Var5
MeanCropArea,6,0.07659449915551492,0.041182621930628854,1.8598742762065157,6.709831461153047,0.10705388653709297,Var5
MeanCropArea,7,0.019958539190418675,0.03076851324073477,0.6486676504081239,10.294470477117224,0.5307566085565223,Var5
MeanCropArea,8,-0.04574275338574862,0.02420581254569145,-1.8897425277256668,5.246926919615899,0.1146656615701373,Var5
MeanCropArea,9,-4.229919058097678e-4,0.03775163028643318,-0.011204599711334284,7.204790849142903,0.9913641768022673,Var5
PercentCrop,1,0.06380281238083325,0.014028966373005736,4.547933944984099,23.104172309732817,1.4223584890250916e-4,Var5
PercentCrop,2,-0.0762761253471756,0.020300303287607475,-3.757388461961508,29.836018558224108,7.450123037929771e-4,Var5
PercentCrop,3,-0.04474973974475002,0.018992766111312547,-2.3561465182312755,25.551282489774156,0.026427084546908522,Var5
PercentCrop,4,-0.04798846783824832,0.019597287023239884,-2.4487301625648548,36.164154245715814,0.019313663399047526,Var5
