term,ERS,estimate,std.error,statistic,p.value,model
ForestCropEdge,1,-0.013157663805953426,0.004087683978905846,-3.218855438397992,0.0012917317096563382,Var5
ForestCropEdge,2,0.035680130275518675,0.007258167753880213,4.915859137651386,9.00018227019995e-7,Var5
ForestCropEdge,3,0.055063185716777444,0.0343195489681939,1.604426263521353,0.10865624449737728,Var5
ForestCropEdge,4,-0.0015837498572488882,0.012022965707301709,-0.13172705435623555,0.8952032167389001,Var5
ForestCropEdge,5,0.011357666727144836,0.019148797688681017,0.5931268851338082,0.5531115810115381,Var5
ForestCropEdge,6,0.05962830230421204,0.008862052050389138,6.728498316774581,1.8219872995723305e-11,Var5
ForestCropEdge,7,0.02986161048994694,0.020779892203749123,1.4370435706379308,0.15074139792047123,Var5
ForestCropEdge,8,0.904496700386259,0.09843128848709247,9.189117751972411,4.8734081865751007e-20,Var5
ForestCropEdge,9,0.004779735625715443,0.012750157134895112,0.37487660545249923,0.7077613312497821,Var5
LandDiversity,1,0.013767578439276219,0.006618234121300736,2.0802495328724278,0.03753170446076378,Var5
LandDiversity,2,-0.024692774072144354,0.009249703254918366,-2.669574730304392,0.0076087723131870845,Var5
LandDiversity,3,-0.024211151904800464,0.009288006549600616,-2.606711329875359,0.00915715518061292,Var5
LandDiversity,4,-0.012393262723351384,0.008324567938936732,-1.4887574723709123,0.13658731246978248,Var5
LandDiversity,5,-0.012454391536871333,0.013516427016049591,-0.9214263149634749,0.35685331940847265,Var5
LandDiversity,6,-0.045258525579753926,0.012534861853665388,-3.6106122355484622,3.0718513004656767e-4,Var5
LandDiversity,7,0.013901560042554672,0.010785449980774698,1.2889179466164609,0.19746071603401577,Var5
LandDiversity,8,-0.04411903620065946,0.013144899259166048,-3.3563616830227807,7.931182274982757e-4,Var5
LandDiversity,9,-0.007758275157656616,0.01462782325929448,-0.5303779667099155,0.595863369232064,Var5
LargeFarms,1,0.04849002015503973,0.006995463520235481,6.931637912880928,4.454841435941285e-12,Var5
LargeFarms,2,-0.007505114117882129,0.009624912869085211,-0.7797591749623229,0.4355537477745647,Var5
LargeFarms,3,-0.017066524796058375,0.01025592855000781,-1.6640643226834277,0.09613541190141887,Var5
LargeFarms,4,0.05432645121959598,0.008159106470945494,6.658382435999823,2.935421413116398e-11,Var5
LargeFarms,5,-0.005994521836553654,0.012024528401403448,-0.498524485655005,0.6181269562160154,Var5
LargeFarms,6,0.03670231228155073,0.008707009135990278,4.215260568619634,2.5200016748797406e-5,Var5
LargeFarms,7,0.04177861438879383,0.00901566344765216,4.634003324477882,3.6385241978167363e-006,Var5
LargeFarms,8,-0.03081472924928711,0.011155967876850904,-2.762174433401601,0.005753772276080883,Var5
LargeFarms,9,0.08594483445248977,0.010644925083653105,8.073784810798816,7.719471795144469e-16,Var5
MeanCropArea,1,-0.01206170891990291,0.005320163987184624,-2.2671686340792365,0.023404236544429708,Var5
MeanCropArea,2,0.029587044525598412,0.015840658311982277,1.8677913469807008,0.06182458906858399,Var5
MeanCropArea,3,0.008225569067743783,0.010164424669729262,0.8092508267821988,0.4183929063771372,Var5
MeanCropArea,4,0.01519004385714486,0.0066560919210588276,2.2821265146723637,0.022505786519450545,Var5
MeanCropArea,5,-0.0172384628338355,0.037210149687379394,-0.4632731386104122,0.6431801286438414,Var5
MeanCropArea,6,0.07659449915551492,0.030977119406468294,2.4726152922896154,0.013431723799936112,Var5
MeanCropArea,7,0.019958539190418675,0.011742931662278175,1.6996215054654111,0.08923771384772068,Var5
MeanCropArea,8,-0.04574275338574862,0.017718344426019026,-2.581660695035159,0.009848745158722987,Var5
MeanCropArea,9,-4.229919058097678e-4,0.01838230107987492,-0.02301082459545081,0.9816421635799994,Var5
PercentCrop,1,0.06380281238083325,0.0093691505886418,6.809882259570175,1.0412394005268717e-11,Var5
PercentCrop,2,-0.0762761253471756,0.014338890847980432,-5.319527581027562,1.0661111875474231e-7,Var5
PercentCrop,3,-0.04474973974475002,0.014773620065731512,-3.029030091856112,0.0024605650145076686,Var5
PercentCrop,4,-0.04798846783824832,0.011865680313963496,-4.044308170158237,5.292877852483638e-5,Var5
PercentCrop,5,0.07001648599382686,0.04700801841963796,1.4894583593971902,0.13640278111786217,Var5
PercentCrop,6,-0.08678673989665366,0.019496174258524422,-4.451475389265532,8.633971006241435e-6,Var5
PercentCrop,7,-0.030310796959453153,0.014834137666481239,-2.0433137160336927,0.041051307526478294,Var5
PercentCrop,8,-0.06633728153352016,0.03518932080140305,-1.8851537916263275,0.0594422098073229,Var5
PercentCrop,9,-0.049792828347258206,0.019777300931368584,-2.5176756181265505,0.011830929040304597,Var5
ForestCropEdge,1,-0.014434420881816012,0.004719051805696007,-3.0587544863129765,0.0022315492502223986,Var5_3yrs
ForestCropEdge,2,0.03697265917524149,0.008428356528012606,4.386698528041456,1.1688277143356549e-5,Var5_3yrs
ForestCropEdge,3,0.0537120588237699,0.039594359976506115,1.3565583294095604,0.17496822915748458,Var5_3yrs
ForestCropEdge,4,0.0014821480858701833,0.013890507890990745,0.10670222410164648,0.9150284778876445,Var5_3yrs
ForestCropEdge,5,0.020062453993179057,0.021875794549914698,0.9171074425389174,0.35912002503976026,Var5_3yrs
ForestCropEdge,6,0.06067120314223357,0.01032695204790774,5.875034846755744,4.434497758127607e-9,Var5_3yrs
ForestCropEdge,7,0.04761089196439833,0.02394734471837255,1.9881491048095599,0.046836656901470874,Var5_3yrs
ForestCropEdge,8,0.8839913303527256,0.1128459412715252,7.833612094436808,5.491779335542723e-15,Var5_3yrs
