term,estimate,std.error,statistic,p.value,model,ERS
pland_crops,0.006593367578473304,0.04334665544525829,0.15210787339290682,0.8791303432153884,ERS_twoways_var7,1
cropintensity,-5.680836266020231,3.676854169869983,-1.545026265270975,0.12263367934886472,ERS_twoways_var7,1
msidi,0.012535336966155807,0.023009958025119646,0.5447787845797527,0.5860184540238879,ERS_twoways_var7,1
mna_crops,0.03517258268574881,0.03798227705086468,0.9260261736979799,0.35463983033057134,ERS_twoways_var7,1
largefarm_planted,0.06450371203523664,0.014883567990231477,4.333887685907863,1.6020468306086163e-5,ERS_twoways_var7,1
natural_crops_ed,0.2527328351902021,0.05160292946684232,4.897645110489254,1.1184092582080792e-6,ERS_twoways_var7,1
SDI,-0.08968583551255535,0.013506828683021586,-6.640036504297463,4.9635428770118657e-11,ERS_twoways_var7,1
pland_crops,0.03192837406305757,0.04463162504834334,0.7153755667304054,0.4745317703354395,ERS_individual_var7,1
cropintensity,-10.779043644846064,3.7686466053413747,-2.8601895517528018,0.0043154941766360404,ERS_individual_var7,1
msidi,0.007512000512245814,0.023750137044004194,0.3162929333135046,0.75184135015077,ERS_individual_var7,1
mna_crops,0.03235281979669591,0.039276915447643126,0.8237108089565442,0.41028592235347294,ERS_individual_var7,1
largefarm_planted,0.09699548615882052,0.014992136488459602,6.469757411392572,1.4858895789814249e-10,ERS_individual_var7,1
natural_crops_ed,0.3514594544663822,0.04872454027857244,7.2131918014410354,1.0273616395787848e-12,ERS_individual_var7,1
SDI,-0.12398230348633595,0.013376100716107541,-9.26894213177059,9.913128662839162e-20,ERS_individual_var7,1
pland_crops,0.024499753182891083,0.008311160282236623,2.9478138251351274,0.0032461241166828357,ERS_time_var7,1
cropintensity,-5.742248512442928,1.6677867618790108,-3.4430351911256496,5.898761380846834e-4,ERS_time_var7,1
msidi,0.010052104429566317,0.006349869582707387,1.5830410843304932,0.11360741092032595,ERS_time_var7,1
mna_crops,-3.176722652145853e-4,0.0050694566703886074,-0.06266396694347001,0.9500418263055479,ERS_time_var7,1
largefarm_planted,0.0879401033435227,0.007209828673308436,12.19725285138695,8.421942838500478e-33,ERS_time_var7,1
natural_crops_ed,-0.002038980651719636,0.004330181424628262,-0.47087649494840245,0.6377923688280634,ERS_time_var7,1
SDI,-0.06775688846521573,0.007815570353605203,-8.669474574425719,1.0349149803791138e-17,ERS_time_var7,1
pland_crops,-0.13272001049311036,0.039259480697504165,-3.3805849729832964,7.405070751858535e-4,ERS_twoways_var6,1
cropintensity,6.246026449956691,3.1746050909439854,1.96749714406191,0.04929630599911098,ERS_twoways_var6,1
msidi,-0.03428973282991266,0.021370196000882413,-1.6045586492747552,0.10878588272665518,ERS_twoways_var6,1
mna_crops,0.04376100712278128,0.026139808095208064,1.6741135575055552,0.09430131626037834,ERS_twoways_var6,1
largefarm_planted,0.06673009571958632,0.013077751128639872,5.102566569985376,3.745484548613544e-7,ERS_twoways_var6,1
natural_crops_ed,0.13365769512932374,0.04385890675233189,3.047447030179735,0.0023452541847818653,ERS_twoways_var6,1
pland_crops,-0.07148430731916443,0.04878377178655611,-1.4653296516704386,0.143024689653749,ERS_individual_var6,1
cropintensity,-4.917951182434274,3.937519976358319,-1.2489971382907683,0.21184623223281493,ERS_individual_var6,1
msidi,-0.06775699984898,0.02660356286973343,-2.5469144933991665,0.010959630547620985,ERS_individual_var6,1
mna_crops,0.054412097678499284,0.03264103351587484,1.6669845227797755,0.09571041921908341,ERS_individual_var6,1
largefarm_planted,0.25787617418357034,0.014345566631809045,17.976018710322,4.948652401979947e-66,ERS_individual_var6,1
natural_crops_ed,0.28745335508314157,0.051957897827657105,5.532428506569229,3.675767032581186e-8,ERS_individual_var6,1
pland_crops,0.04163952370685694,0.0069683875252423075,5.975489100745589,2.6757261796620584e-9,ERS_time_var6,1
cropintensity,-0.6925141120598849,1.2450295868911985,-0.5562230161847573,0.5781159675098079,ERS_time_var6,1
msidi,0.00892544367485602,0.005455254001374233,1.636118808144884,0.10196027738182895,ERS_time_var6,1
mna_crops,-0.006452344183588085,0.00434059326213801,-1.4865120489105461,0.13728954117887804,ERS_time_var6,1
largefarm_planted,0.07448878640843123,0.00622483429254173,11.966388647113032,5.333282086377632e-32,ERS_time_var6,1
natural_crops_ed,-0.002514453694037873,0.0037588506623673847,-0.6689421634149811,0.5036037927177555,ERS_time_var6,1
pland_crops,-0.001981906554208834,0.04418487510508474,-0.044854863785294685,0.9642313013206073,ERS_twoways_var6_3yrs,1
cropintensity,-0.11368682473613634,3.6508358677125274,-0.031139944071867605,0.975163698541516,ERS_twoways_var6_3yrs,1
msidi,0.007118204345786596,0.023450578268058797,0.30354067453773836,0.7615364273824801,ERS_twoways_var6_3yrs,1
mna_crops,0.029730353555217835,0.03872493848556594,0.7677314598265744,0.44281486812980375,ERS_twoways_var6_3yrs,1
largefarm_planted,0.06210741705447373,0.015173655726957365,4.093108356487508,4.573958545785617e-5,ERS_twoways_var6_3yrs,1
natural_crops_ed,0.2479765647750506,0.05261909661803968,4.712672408177291,2.764529824068554e-6,ERS_twoways_var6_3yrs,1
pland_crops,0.032071544804999824,0.04635297316316294,0.6918983317878588,0.48914989392596686,ERS_individual_var6_3yrs,1
cropintensity,-3.6606546725229125,3.8318653635006266,-0.9553192310438321,0.3396300633488981,ERS_individual_var6_3yrs,1
msidi,5.44807813840174e-4,0.024653774753830723,0.022098352859961996,0.9823735823730014,ERS_individual_var6_3yrs,1
mna_crops,0.027041277815963473,0.04078740427591477,0.6629810917369784,0.50748413371163,ERS_individual_var6_3yrs,1
