year,FIPS,ed_wat,ed_ldev,ed_hdev,ed_bare,ed_df,ed_ef,ed_mf,ed_shrub,ed_grass,ed_pas,ed_crops,ed_wet,el_wat,el_ldev,el_hdev,el_bare,el_df,el_ef,el_mf,el_shrub,el_grass,el_pas,el_crops,el_wet,pland_wat,pland_ldev,pland_hdev,pland_bare,pland_df,pland_ef,pland_mf,pland_shrub,pland_grass,pland_pas,pland_crops,pland_wet,mna_wat,mna_ldev,mna_hdev,mna_bare,mna_df,mna_ef,mna_mf,mna_shrub,mna_grass,mna_pas,mna_crops,mna_wet,msidi,tec_forest_fc,tec_crops_fc,tel_forestcrop_fc,tec_shrubgrass_sgc,tec_crops_sgc,tel_shrubgrasscrop_sgc,tec_deciforest_dfLID,tec_LID_dfLID,tel_deciforestLID_dfLID,tec_mixforest_mfLID,tec_LID_mfLID,tel_mixforestLID_mfLID,tec_natural_nc,tec_crops_nc,tel_naturalcrops_nc
2016,13115,5.314027146,37.6684678,6.736254373,1.14341171,78.69009432,55.28187847,75.9008221,13.1454367,13.35253765,39.89742806,3.355169414,5.083468161,713580,5058210,904560,153540,10566690,7423380,10192140,1765200,1793010,5357520,450540,682620,1.674970812,10.36489981,1.68716899,0.210184005,30.93270493,16.11486663,11.99476417,3.69939934,4.09939237,15.92492356,2.187562415,1.109162977,2.395303514,13.06876056,1.276377465,0.709145729,6.239621451,3.083416928,1.369863072,1.561659855,1.883256928,4.540203822,14.39955882,1.471749012,0.823636764,8897610,450540,105420,3285990,450540,25620,10566690,5058210,1020480,10192140,5058210,758370,7411800,450540,170940
2016,13273,2.115570226,23.89894654,1.164112411,0.246953723,12.71057092,54.89438269,34.88221336,6.511346495,13.30051593,2.739814359,48.56550756,33.79664596,185040,2090340,101820,21600,1111740,4801380,3051000,569520,1163340,239640,4247820,2956050,0.600612034,4.159318078,0.207235332,0.031692394,2.18152745,22.55819362,6.249163959,1.379956824,3.040720611,0.447089136,40.53117688,18.61331369,1.689163987,17.66009709,0.616530612,0.40173913,1.069557175,6.813087017,1.616645963,1.408389732,1.547172775,0.892808219,23.18568345,10.79594164,0.742903028,5328300,4247820,1908930,1635120,4247820,378630,1111740,2090340,45840,3051000,2090340,118710,4357650,4247820,3015900
2016,13063,3.700333929,115.1949575,54.77168169,1.527631353,46.10494121,50.6212421,19.33609013,2.877146025,7.291551332,19.77897485,0.00320931,9.707359107,138360,4307280,2047980,57120,1723920,1892790,723000,107580,272640,739560,120,362970,1.384736845,44.48319686,18.20472828,0.326627481,10.90122227,11.01001786,2.701356094,0.624371176,1.466574239,4.787006147,0.000240698,4.109922062,2.251173913,11.22321862,2.258450564,0.653101604,1.936389549,1.541865169,0.798474308,0.796791809,0.727281167,1.385386997,0.09,5.777255639,0.739810685,2614530,120,0,349320,120,0,1723920,4307280,652410,723000,4307280,209940,2557920,120,0
2016,13073,9.778625299,52.57969233,14.18066357,2.615616579,67.45775324,85.89058242,53.3953309,9.585071178,21.59484077,20.47154905,0.685347275,11.51119827,779040,4188900,1129740,208380,5374200,6842700,4253880,763620,1720410,1630920,54600,917070,6.406377797,14.9543152,2.821409044,0.507797143,16.27187651,33.29262672,7.797934017,2.745606623,4.556279061,6.641015097,0.15036218,3.854400607,4.639827273,14.60018382,0.857919847,0.649357945,2.452870388,6.227623855,1.021445248,1.338653611,0.909288577,3.097622951,0.9075,4.610675676,0.820584771,5686140,54600,10920,2329650,54600,6420,5374200,4188900,606150,4253880,4188900,308580,4451940,54600,18240
2016,13193,3.550239136,25.89243837,1.272425791,0.383439521,24.06995945,50.94239392,54.73199746,6.762115719,20.22358176,4.47745524,37.9473889,26.1075525,373320,2722680,133800,40320,2531040,5356770,5755260,711060,2126580,470820,3990300,2745300,0.846562567,4.421365798,0.263357903,0.065218954,4.769029042,18.41707949,12.78984775,2.118503353,6.358848038,1.432591675,31.02984323,17.48775219,1.878037975,16.66387097,0.812111437,0.659423077,1.557391304,5.073670422,3.193771076,2.282459016,2.653392857,2.566303237,18.60259977,14.18902778,0.813850061,6571110,3990300,1804260,2643840,3990300,422580,2531040,2722680,117060,5755260,2722680,288000,4588770,3990300,2512800
2016,13049,2.394665795,15.6761411,0.791165008,0.41867789,2.982265705,44.9776715,0.364492562,18.02757707,15.37382843,6.57715132,0.250496107,32.4007535,485250,3176580,160320,84840,604320,9114180,73860,3653070,3115320,1332780,50760,6565620,0.395108753,2.618927912,0.113122976,0.101219969,1.085794028,26.40291144,0.046101943,7.166897917,7.443998131,2.429723406,0.068842015,52.12735151,0.682557545,6.206947368,0.395224138,1.073874346,3.077244755,10.71760817,0.462475248,2.976603812,4.548962606,2.971357876,1.143442623,34.12916317,0.646472065,9081480,50760,7560,5902050,50760,15180,604320,3176580,47550,73860,3176580,1980,4674210,50760,26070
2016,13233,2.005340648,38.82137625,4.644493626,0.893571481,70.08450336,59.89674945,63.86661145,12.69331647,14.76693667,45.91985168,2.767548215,2.658449371,162120,3138480,375480,72240,5665920,4842300,5163240,1026180,1193820,3712350,223740,214920,0.416690787,9.113427173,1.015398522,0.144166329,29.21756091,20.27846923,9.854631357,3.474352866,5.065303451,19.3245223,1.578259495,0.517217579,0.787079439,18.05801471,0.931770715,0.571323529,6.262110286,4.07606912,1.17523086,1.633979058,2.335995436,5.007288462,9.593458647,1.106190476,0.813980005,5142720,223740,34680,2003160,223740,9780,5665920,3138480,489390,5163240,3138480,384660,4278720,223740,46470
2016,13089,3.085644577,125.5875283,53.0872677,2.950668983,47.21881936,58.80536349,30.33704602,1.325836208,5.69204037,8.72471984,0,4.791633563,216720,8820630,3728580,207240,3316410,4130190,2130720,93120,399780,612780,0,336540,0.926718504,50.8010118,15.05135907,1.021927554,11.47275458,12.12243141,4.484435947,0.170940609,0.957472437,1.619066413,0,1.371881679,1.611089109,16.28482428,1.560571302,1.598552339,1.963421053,1.535192932,0.933780018,0.371702786,0.59776,0.877430556,0,3.078402556,0.688667363,0,0,0,0,0,0,3316410,8820630,1513410,2130720,8820630,930300,0,0,0
2016,13227,1.623634383,55.04628254,3.567814609,0.94869624,105.9384104,44.30351709,91.31923031,8.020614482,9.190308167,26.1473824,0.106516787,1.09602787,97860,3317760,215040,57180,6385140,2670270,5504010,483420,553920,1575960,6420,66060,0.42586805,10.97267247,0.720780181,0.155295502,46.66794089,11.66000439,16.7790817,2.06050253,2.326296755,8.02758287,0.039719811,0.164254858,1.418121547,17.17784416,0.928269231,0.550588235,9.531613013,2.558332727,2.007368003,1.462791519,1.287520661,2.625284862,3.42,0.883928571,0.720935749,4400220,6420,300,954540,6420,0,6385140,3317760,1656450,5504010,3317760,530970,3880980,6420,300
2016,13119,3.723828985,49.72465747,6.543541676,2.67496715,79.48486235,19.27071719,48.36326697,3.62168123,17.83499791,79.56223385,0.884121414,9.772280055,257010,3431880,451620,184620,5485860,1330020,3337920,249960,1230930,5491200,61020,674460,1.287452909,8.777056658,1.331006973,0.504783775,29.98853772,4.968292902,7.978869759,0.844088188,4.484634152,36.09484354,0.395507411,3.344926017,1.569911661,6.39,0.89622439,0.944146341,6.851171797,2.139114161,1.259279671,1.18168357,1.341070191,8.101404878,7.5825,4.500175439,0.759661355,5244540,61020,5040,1424130,61020,6210,5485860,3431880,716100,3337920,3431880,218520,4924950,61020,11970
2016,13265,1.343631743,22.98997791,0.475548393,1.23808609,65.3511409,83.62654865,58.10762573,10.43716061,17.3794556,16.17338898,0.079455716,12.87953446,67980,1163160,24060,62640,3306390,4231020,2939910,528060,879300,818280,4020,651630,0.225737248,3.633675942,0.068841856,0.186424457,17.42695114,47.42848096,8.575347144,3.976106362,6.700251531,6.874935516,0.033798327,4.869449514,0.568208955,19.35189474,0.355408163,0.760645161,3.220244704,14.21568128,1.168497172,2.967079646,2.705458899,5.230556391,3.42,6.731311475,0.722832973,2901660,4020,900,1294860,4020,1200,3306390,1163160,123570,2939910,1163160,87900,1739730,4020,2220
