variable,ERS,ERS_twoways_var7,ERS_individual_var7,ERS_time_var7,ERS_twoways_var6,ERS_individual_var6,ERS_time_var6,ERS_twoways_var6_3yrs,ERS_individual_var6_3yrs,ERS_time_var6_3yrs,ERS_twoways_var7crops,ERS_individual_var7crops,ERS_time_var7crops,ERS_twoways_var6crops,ERS_individual_var6crops,ERS_time_var6crops,ERS_twoways_var6crops_3yrs,ERS_individual_var6crops_3yrs,ERS_time_var6crops_3yrs
msidi,4,1.1676610744533245,1.1676610744533245,1.1676610744533245,1.1521869252078822,1.1521869252078822,1.1521869252078822,1.16697156795528,1.16697156795528,1.16697156795528,1.1804130265788533,1.1804130265788533,1.1804130265788533,1.1624678057927103,1.1624678057927103,1.1624678057927103,1.177554899414319,1.177554899414319,1.177554899414319
msidi,5,1.4195446666166611,1.4195446666166611,1.4195446666166611,1.1935390608264966,1.1935390608264966,1.1935390608264966,1.1980385998120666,1.1980385998120666,1.1980385998120666,1.427267065381893,1.427267065381893,1.427267065381893,1.2029596447367712,1.2029596447367712,1.2029596447367712,1.2027236158316976,1.2027236158316976,1.2027236158316976
msidi,6,1.1149606933290712,1.1149606933290712,1.1149606933290712,1.0763019976506591,1.0763019976506591,1.0763019976506591,1.0799110512424264,1.0799110512424264,1.0799110512424264,1.1263691499137976,1.1263691499137976,1.1263691499137976,1.0848192827761483,1.0848192827761483,1.0848192827761483,1.0897811912895907,1.0897811912895907,1.0897811912895907
msidi,7,1.1295401097653823,1.1295401097653823,1.1295401097653823,1.11396072776079,1.11396072776079,1.11396072776079,1.116604641440773,1.116604641440773,1.116604641440773,1.1429006634128447,1.1429006634128447,1.1429006634128447,1.1292883905986069,1.1292883905986069,1.1292883905986069,1.1264523923097383,1.1264523923097383,1.1264523923097383
msidi,8,1.1988521798120768,1.1988521798120768,1.1988521798120768,1.1552059989585384,1.1552059989585384,1.1552059989585384,1.1558211388945296,1.1558211388945296,1.1558211388945296,1.226508961270352,1.226508961270352,1.226508961270352,1.1963794069737945,1.1963794069737945,1.1963794069737945,1.2109237294398276,1.2109237294398276,1.2109237294398276
msidi,9,2.6084782505348754,2.6084782505348754,2.6084782505348754,2.267340129337137,2.267340129337137,2.267340129337137,2.3158353107354284,2.3158353107354284,2.3158353107354284,2.866922151995916,2.866922151995916,2.866922151995916,2.5585196056064228,2.5585196056064228,2.5585196056064228,2.5610153060125573,2.5610153060125573,2.5610153060125573
pland_crops,1,8.827912063473812,8.827912063473812,8.827912063473812,7.9804067794593685,7.9804067794593685,7.9804067794593685,8.153081161646286,8.153081161646286,8.153081161646286,11.634571244084507,11.634571244084507,11.634571244084507,11.59099803733547,11.59099803733547,11.59099803733547,11.62684475106838,11.62684475106838,11.62684475106838
pland_crops,2,3.6444724127216217,3.6444724127216217,3.6444724127216217,3.6474083465167966,3.6474083465167966,3.6474083465167966,3.637138888894364,3.637138888894364,3.637138888894364,5.185918756772726,5.185918756772726,5.185918756772726,5.137932816664144,5.137932816664144,5.137932816664144,5.136937326853209,5.136937326853209,5.136937326853209
pland_crops,3,4.616192194260794,4.616192194260794,4.616192194260794,4.491914408311698,4.491914408311698,4.491914408311698,4.552517215606024,4.552517215606024,4.552517215606024,5.970211946154172,5.970211946154172,5.970211946154172,5.575109931312376,5.575109931312376,5.575109931312376,5.866327436256082,5.866327436256082,5.866327436256082
pland_crops,4,2.7479679986713554,2.7479679986713554,2.7479679986713554,2.7708557595377026,2.7708557595377026,2.7708557595377026,2.725810456914911,2.725810456914911,2.725810456914911,3.2985862053830384,3.2985862053830384,3.2985862053830384,3.3315211968079885,3.3315211968079885,3.3315211968079885,3.2822363007526367,3.2822363007526367,3.2822363007526367
pland_crops,5,2.5810833396370896,2.5810833396370896,2.5810833396370896,2.514020788304572,2.514020788304572,2.514020788304572,2.5801187182588117,2.5801187182588117,2.5801187182588117,3.695905458203823,3.695905458203823,3.695905458203823,3.4594114662674715,3.4594114662674715,3.4594114662674715,3.6339794001033203,3.6339794001033203,3.6339794001033203
pland_crops,6,3.2851441119375213,3.2851441119375213,3.2851441119375213,3.326213828974325,3.326213828974325,3.326213828974325,3.2819999762179926,3.2819999762179926,3.2819999762179926,3.379460360619354,3.379460360619354,3.379460360619354,3.4232553471922,3.4232553471922,3.4232553471922,3.3768164907367684,3.3768164907367684,3.3768164907367684
pland_crops,7,2.558516851575967,2.558516851575967,2.558516851575967,2.581599163256784,2.581599163256784,2.581599163256784,2.5023013972175407,2.5023013972175407,2.5023013972175407,2.657971257284763,2.657971257284763,2.657971257284763,2.7003965639468186,2.7003965639468186,2.7003965639468186,2.608869023546293,2.608869023546293,2.608869023546293
pland_crops,8,4.476677630031572,4.476677630031572,4.476677630031572,4.621106682105239,4.621106682105239,4.621106682105239,4.47449261919583,4.47449261919583,4.47449261919583,5.132968077518011,5.132968077518011,5.132968077518011,5.22509366927663,5.22509366927663,5.22509366927663,5.0674539697223535,5.0674539697223535,5.0674539697223535
pland_crops,9,8.212183561437229,8.212183561437229,8.212183561437229,7.752889461501156,7.752889461501156,7.752889461501156,7.836479492372634,7.836479492372634,7.836479492372634,9.574220859011225,9.574220859011225,9.574220859011225,9.103984071141529,9.103984071141529,9.103984071141529,9.29914484770539,9.29914484770539,9.29914484770539
SDI,1,1.4704251992543884,1.4704251992543884,1.4704251992543884,NA,NA,NA,NA,NA,NA,2.0968868736591286,2.0968868736591286,2.0968868736591286,NA,NA,NA,NA,NA,NA
SDI,2,1.2748161613593023,1.2748161613593023,1.2748161613593023,NA,NA,NA,NA,NA,NA,1.4232910629618825,1.4232910629618825,1.4232910629618825,NA,NA,NA,NA,NA,NA
SDI,3,1.1671564456659913,1.1671564456659913,1.1671564456659913,NA,NA,NA,NA,NA,NA,1.2370333001557163,1.2370333001557163,1.2370333001557163,NA,NA,NA,NA,NA,NA
SDI,4,1.0343438202823434,1.0343438202823434,1.0343438202823434,NA,NA,NA,NA,NA,NA,1.0786467555449615,1.0786467555449615,1.0786467555449615,NA,NA,NA,NA,NA,NA
SDI,5,1.6744661955472309,1.6744661955472309,1.6744661955472309,NA,NA,NA,NA,NA,NA,1.8384150495477587,1.8384150495477587,1.8384150495477587,NA,NA,NA,NA,NA,NA
