term,estimate,std.error,statistic,p.value,model,ERS
pland_crops,1.2733771485592864,0.7976208568788059,1.5964692216577394,0.11099747151562583,ERS_twoways_var7,7
cropintensity,-0.04690175092407758,0.2617264176153465,-0.17920144000521965,0.8578500121550537,ERS_twoways_var7,7
msidi,0.0854063825020418,0.0604474687287032,1.412902546595586,0.15828844022383096,ERS_twoways_var7,7
mna_crops,-0.12790317288795097,0.1518842297446087,-0.8421096324682191,0.40011747280170007,ERS_twoways_var7,7
largefarm_planted,0.06678100204266818,0.021489150984893377,3.1076612607736083,0.0019898746287955677,ERS_twoways_var7,7
natural_crops_ed,0.23355669033329024,0.42740848175780194,0.5464484218299603,0.5849943911290396,ERS_twoways_var7,7
SDI,-0.014612079832708624,0.01384916168126109,-1.0550876774353655,0.29187994282713825,ERS_twoways_var7,7
pland_crops,1.2243979355921504,0.7967811118864575,1.5366804224227506,0.12498333662317285,ERS_individual_var7,7
cropintensity,-0.018877483525649007,0.26191748590766023,-0.07207416282357078,0.9425707609426042,ERS_individual_var7,7
msidi,0.07719567525565449,0.060418953350912324,1.2776731633747977,0.20193810043610644,ERS_individual_var7,7
mna_crops,-0.10221649656960607,0.15172024497751527,-0.6737169227795171,0.5007923815876703,ERS_individual_var7,7
largefarm_planted,0.0601033668795158,0.021329860356826175,2.817804049067812,0.005020446353368018,ERS_individual_var7,7
natural_crops_ed,0.3736931855279176,0.4055682109345197,0.9214064994562691,0.35726799225964656,ERS_individual_var7,7
SDI,-0.013978953624055246,0.01382504921910646,-1.0111322862226115,0.3124260981306165,ERS_individual_var7,7
pland_crops,0.11831351930032993,0.026796762521087484,4.415216920597185,1.1502530107796754e-5,ERS_time_var7,7
cropintensity,-0.11511162567779804,0.09535546184238433,-1.207184396716249,0.22772429323392349,ERS_time_var7,7
msidi,0.06623303870652202,0.010456353983227975,6.334238379148221,4.0114077902159287e-10,ERS_time_var7,7
mna_crops,-0.11545347450497714,0.018763207997100784,-6.153184174199665,1.2091098528554595e-9,ERS_time_var7,7
largefarm_planted,0.16904874907453013,0.011304247766153349,14.95444478673654,1.1062881982704561e-44,ERS_time_var7,7
natural_crops_ed,-0.05277034289806256,0.020084215144702645,-2.6274535757490685,0.00877035303873128,ERS_time_var7,7
SDI,-0.02351350542469046,0.00825906243781225,-2.846994510786018,0.004528448802331852,ERS_time_var7,7
pland_crops,1.1245644256166887,0.5230638237369764,2.1499564194333924,0.03186510263442008,ERS_twoways_var6,7
cropintensity,-0.04593308040309214,0.2469605278103008,-0.18599361124776578,0.8524980676704557,ERS_twoways_var6,7
msidi,0.05665955536153123,0.050164807593328885,1.12946820848698,0.2590471543600565,ERS_twoways_var6,7
mna_crops,-0.08017499827467453,0.09239820395503127,-0.8677116528552267,0.3858187356631708,ERS_twoways_var6,7
largefarm_planted,0.09403136819410768,0.015338500725260527,6.13041456126479,1.3903226468459051e-9,ERS_twoways_var6,7
natural_crops_ed,-0.20674181239950404,0.2602217452328985,-0.7944832289648588,0.4271555153023672,ERS_twoways_var6,7
pland_crops,1.281796272804208,0.5202566805124252,2.4637766718184313,0.013961825390688333,ERS_individual_var6,7
cropintensity,-0.01195843303716403,0.24818919492473374,-0.04818273027877206,0.9615828846946857,ERS_individual_var6,7
msidi,0.08261400481726713,0.04867177692483659,1.6973698113559166,0.09002364095562335,ERS_individual_var6,7
mna_crops,-0.07381951087723294,0.09290477899309967,-0.7945717290034752,0.42710312299315556,ERS_individual_var6,7
largefarm_planted,0.09446979325882217,0.015194037529907124,6.217556924739255,8.203305359818278e-10,ERS_individual_var6,7
natural_crops_ed,-0.12089411597477884,0.2557955552368237,-0.47262008076274514,0.6366157898348515,ERS_individual_var6,7
pland_crops,0.12267523780703082,0.022895425975725296,5.358067499468947,1.0332260588547231e-7,ERS_time_var6,7
cropintensity,-0.13571280062297453,0.09239909145018632,-1.4687676955799858,0.142194756264484,ERS_time_var6,7
msidi,0.06271961736843233,0.008756027818717092,7.1630217110961425,1.4811729184187296e-12,ERS_time_var6,7
mna_crops,-0.1315027153611994,0.015898692428370373,-8.271291236915797,3.9714202011418778e-016,ERS_time_var6,7
largefarm_planted,0.16716345593640208,0.00965240785711206,17.318316674034154,2.6045418699036077e-59,ERS_time_var6,7
natural_crops_ed,-0.060867544694670046,0.01679254575323228,-3.624676424237467,3.0316832571941236e-4,ERS_time_var6,7
pland_crops,1.2723713856539856,0.7977077810985242,1.5950344421885938,0.11131680435468282,ERS_twoways_var6_3yrs,7
cropintensity,-0.022788331468234384,0.26075526353634115,-0.08739356268088679,0.9303925899409682,ERS_twoways_var6_3yrs,7
msidi,0.08811691166289481,0.06039947752583482,1.458901885785425,0.14520055514725164,ERS_twoways_var6_3yrs,7
mna_crops,-0.12512184425334735,0.15187800999042483,-0.8238312067773055,0.41041608500812365,ERS_twoways_var6_3yrs,7
largefarm_planted,0.06722265121934584,0.021487430487910474,3.128463929513,0.0018565230748636078,ERS_twoways_var6_3yrs,7
natural_crops_ed,0.2329504161293157,0.42745497942423516,0.5449706456644642,0.586009164956414,ERS_twoways_var6_3yrs,7
pland_crops,1.217425202477824,0.7967684878208039,1.5279535035422076,0.12713445486953293,ERS_individual_var6_3yrs,7
cropintensity,0.003008144016736522,0.26102724438177244,0.011524253048225417,0.9908096169171039,ERS_individual_var6_3yrs,7
msidi,0.07956899310151179,0.06037464839948007,1.3179206042746414,0.18811275496849647,ERS_individual_var6_3yrs,7
mna_crops,-0.10045834503807485,0.1517135593963536,-0.6621579866544832,0.5081644498364069,ERS_individual_var6_3yrs,7
