term,estimate,std.error,statistic,df,p.value,model,ERS
pland_crops,-0.328927720937607,0.12400712350877388,-2.6524905314357556,47.30635736279262,0.010841867639713485,ERS_twoways_var7,3
cropintensity,-10.009758419158498,8.943099641472736,-1.1192717089653388,1.7987916425029422,0.39027961536561384,ERS_twoways_var7,3
msidi,-0.13030371360088341,0.05422404368420876,-2.4030615341000607,65.59817259191728,0.019094969939945954,ERS_twoways_var7,3
mna_crops,-0.054649901486241825,0.024261201851234343,-2.2525636537441938,19.845534908469837,0.03576838644239457,ERS_twoways_var7,3
largefarm_planted,0.03722098729980074,0.008256460035511103,4.508104822128729,37.34046056377619,6.273613425908766e-5,ERS_twoways_var7,3
natural_crops_ed,-0.029604509607718293,0.04865485378622637,-0.6084595328924612,25.507435659355924,0.5482633220666132,ERS_twoways_var7,3
SDI,0.01075508696690321,0.011679176285810559,0.9208771837762174,21.826931435440468,0.36718129084681717,ERS_twoways_var7,3
pland_crops,0.19806230777179432,0.10534560782130507,1.8801192747187152,47.98761258821541,0.06616941249365448,ERS_individual_var7,3
cropintensity,-11.085791936596827,3.1336381952891945,-3.537674500286001,1.7917762806716833,0.08362300544878572,ERS_individual_var7,3
msidi,-0.04185260688087694,0.05796461588676664,-0.72203716423543,65.18988960759343,0.4728537335898756,ERS_individual_var7,3
mna_crops,-0.012179010847995504,0.023281893364571427,-0.5231108422877916,20.690148028068336,0.6064546649914577,ERS_individual_var7,3
largefarm_planted,0.044551046423048295,0.00856239097414989,5.203108168915576,36.636097190193915,7.711460892951103e-6,ERS_individual_var7,3
natural_crops_ed,-0.0526983673535032,0.05015012905680231,-1.0508121981862628,24.336936600966457,0.3036677871061726,ERS_individual_var7,3
SDI,0.01096177065913255,0.010808415408744746,1.0141885044743681,21.03501639320426,0.32201713862998155,ERS_individual_var7,3
pland_crops,0.07141484893503985,0.012301125135486667,5.80555421950957,47.328557379151235,5.181192097275633e-7,ERS_time_var7,3
cropintensity,-12.501954017832697,3.953990732020442,-3.1618571881285993,1.6852600953798893,0.10806306285002751,ERS_time_var7,3
msidi,-0.023374749623894873,0.005852698152519664,-3.9938416461528488,70.91181436469869,1.5686575870755897e-4,ERS_time_var7,3
mna_crops,-0.028393845934286878,0.010803834412687424,-2.6281267233180396,18.07712814473067,0.017017958108604205,ERS_time_var7,3
largefarm_planted,0.020569740352429238,0.008363609163009255,2.4594334756106866,72.98625307051543,0.016285396795814356,ERS_time_var7,3
natural_crops_ed,-0.012523771201689066,0.00960319339897502,-1.3041256883388155,36.61506544253664,0.20032982797438048,ERS_time_var7,3
SDI,0.019707563723095532,0.011387575705466566,1.7306197765723732,56.19320289397686,0.0890081512641696,ERS_time_var7,3
pland_crops,-0.08154647654618633,0.10258615727044838,-0.7949072147346835,50.61519371327179,0.4303792336290446,ERS_twoways_var6,3
cropintensity,-8.179433724494903,8.931534565960085,-0.9157926517653984,1.5488193700588808,0.4795744875998569,ERS_twoways_var6,3
msidi,-0.2008489034322138,0.04555268459653354,-4.409156237687426,61.11259547956336,4.2755344500380405e-5,ERS_twoways_var6,3
mna_crops,-0.05670161991854443,0.02907918931233844,-1.9499037373261867,17.757604688631076,0.0671571576964677,ERS_twoways_var6,3
largefarm_planted,0.03873510811479022,0.006905288156932308,5.60948467818878,47.64395459110589,1.005215403794257e-6,ERS_twoways_var6,3
natural_crops_ed,-0.02937071969333437,0.03357784081470028,-0.8747054301501113,35.39019101948909,0.38763190711416917,ERS_twoways_var6,3
pland_crops,0.37663085386293815,0.08623662967291874,4.367411566192192,49.64717468454707,6.388160816092446e-5,ERS_individual_var6,3
cropintensity,-14.65141027611078,2.3501649311003274,-6.2342051326802475,1.5391251733665434,0.04496993044362832,ERS_individual_var6,3
msidi,-0.1344091212793103,0.047991793898476076,-2.8006688302513796,61.965522082331056,0.006793289843184701,ERS_individual_var6,3
mna_crops,0.010162193261986299,0.02905657078766266,0.3497382170886159,18.97143681147264,0.7303876769648692,ERS_individual_var6,3
largefarm_planted,0.05497655603256831,0.008197094851165876,6.706834193183574,49.94993326883286,1.7335075221577622e-8,ERS_individual_var6,3
natural_crops_ed,-0.09808236900266282,0.0335853423175817,-2.9203921185378943,33.78422321825401,0.006186438804240619,ERS_individual_var6,3
pland_crops,0.0516089551495211,0.010272907075352345,5.023792658783589,50.768834214464796,6.642183206812139e-6,ERS_time_var6,3
cropintensity,-15.24494964138132,2.451248058409638,-6.219260261759144,1.5691227024945518,0.04331529545629425,ERS_time_var6,3
msidi,-0.020885388169525395,0.005073608548986663,-4.116476067846577,71.32133461916686,1.0201318213594245e-4,ERS_time_var6,3
mna_crops,-0.020115365011400446,0.008649345793890947,-2.3256516146698605,19.3866865942187,0.03102506205376351,ERS_time_var6,3
largefarm_planted,0.025603772346651663,0.00709522011806113,3.6085945073749537,77.167661987085907,5.446150399603509e-4,ERS_time_var6,3
natural_crops_ed,-0.009943640481731937,0.007407990915595441,-1.3422857283475333,35.23759807163309,0.18808801783049614,ERS_time_var6,3
pland_crops,-0.33502759675078186,0.1233592454528107,-2.7158693742086957,46.707749910708344,0.00923712253324771,ERS_twoways_var6_3yrs,3
cropintensity,-11.15267782654113,9.407241557129959,-1.1855417721349215,1.571296048067158,0.3845732420948318,ERS_twoways_var6_3yrs,3
msidi,-0.1232486620321771,0.05488722527937852,-2.245489025995315,63.684392177611336,0.028215472294091326,ERS_twoways_var6_3yrs,3
mna_crops,-0.05003687710840928,0.02351956563978836,-2.1274575336442965,17.45986961369855,0.04791044456801029,ERS_twoways_var6_3yrs,3
