FIPS,Year,ERSCode,ASDCode,insect_planted,pland_crops,SDI,largefarm_planted,mna_crops,natural_crops_ed,msidi,soysmallgrain_planted,corn_planted,fruitveg_planted,forest_crops_ed,shrubgrass_crops_ed
1001,2017,6,1040,0.2827646880928161,-0.9974062565470838,-0.5320931645633211,-0.4914069274588683,-0.7530154855551082,-1.060390935203126,1.4436584149023688,-1.2493659026487687,-1.0546448282826413,0.07756474009507866,-0.7046352793031646,-0.5938575730158306
1001,2012,6,1040,0.368950261429146,-1.0000876387832578,-0.2752726327809355,-0.20734237871893876,-0.755990353332856,-1.0683873263682342,1.4599019926289498,-0.8476564593715915,-1.015530821689974,0.10897725193902795,-0.7151300707874576,-0.5891923055436008
1001,2007,6,1040,0.2692074629245734,-1.0043950800786712,-0.9770360685779863,-1.5493264060295846,-0.7642019858668502,-1.0816468789499243,1.462382036419244,-1.2372207235418495,-0.8850935788682249,0.09677416194295506,-0.7198092771817283,-0.593118905666061
1001,2002,6,1040,0.35377072993584313,-1.0071087680820456,NA,-0.4288680258293084,-0.7698882847010723,-1.0943191259658156,1.4286498057157213,-1.3325764513683782,-0.8892181084625832,0.5207741181908788,-0.7299029938322266,-0.5995725256693124
1003,2017,6,1050,0.7426725375705945,-0.835547294169181,1.6405986204337093,0.7579860071398236,-0.6482825276218889,-0.8483313759177784,1.1515296365998586,-0.6073706913070042,-0.8334907655635003,0.04531237166355777,-0.5390451146196469,-0.4697602341840331
1003,2012,6,1050,0.7725289452735316,-0.8389887720569466,1.3386326299669022,0.6854562562499841,-0.6406791683709939,-0.8722846010942287,1.1440510658731275,0.18730711574560924,-0.9440505759832937,0.2029259219634012,-0.5612775539711032,-0.48005213427734567
1003,2007,6,1050,0.6173462343207333,-0.8389900561996555,1.6753624702682273,0.002601238324733006,-0.6292106024033,-0.8818371743222135,1.1686419838945212,-0.3999158371184271,-0.9319711450532409,0.3618091999472963,-0.5726499653313198,-0.4815639388108266
1003,2002,6,1050,0.5099060354578951,-0.8424373126921537,NA,-0.12106616210588772,-0.6320714888865802,-0.8979439445660395,1.1087484392054487,-0.41835254488056545,-0.9394916638106104,0.5669954121130646,-0.5743745727683636,-0.5028454949359815
1005,2017,6,1060,0.30916427217704956,-0.9426781644891816,0.41574242087020413,-0.6163714221766478,-0.8179728792307875,-0.5849047821937423,1.2095257529906633,-1.179495656607978,-1.0048969865824386,-0.14074700846507546,-0.27914910490345995,-0.30749556719959964
1005,2012,6,1060,0.2628462851792697,-0.9486674619345783,0.5030348951042276,-0.9521096789286732,-0.8173138756794499,-0.6199839070980145,1.2107046330495295,-1.4429624102248026,-0.9950858607012295,-0.08799459384971163,-0.31152185382398706,-0.3210745987703401
1005,2007,6,1060,0.34950908764644056,-0.9491164433927978,0.13263177364725795,-0.9552516148654538,-0.8174112139264679,-0.630847511523386,1.2037257676791628,-1.3178801209313733,-0.739496108219361,-0.044750284278789076,-0.3080196701682296,-0.3396151995688511
1005,2002,6,1060,0.30706744147978393,-0.9534148651982562,NA,-0.5123844910104055,-0.8218818894233172,-0.6502684803285194,1.253693369109297,-1.352521970807941,-0.9698003241126641,-0.11817912664609363,-0.32555303834224597,-0.35350759340660864
1009,2017,5,1020,0.2057438195381521,-1.0731647967163118,-0.24841474366797525,-1.763481074186399,-0.8453546968626228,-1.19186470482224,0.7721312946610167,-1.172259731265869,-1.122851405618832,-0.09323106691881625,-0.7586765298842479,-0.6222201319071385
1009,2012,5,1020,0.26854787571337985,-1.077312087750605,-0.3061190309893373,-2.029159611288447,-0.8522168333256556,-1.2011522535955923,0.8085504244259994,-1.116846785200551,-0.9426909652222728,-0.07410272730794805,-0.7606793087640278,-0.6328646800726121
1009,2007,5,1020,0.24415403864868623,-1.077950286412125,-0.7656702129391173,-1.6290196886346402,-0.8546880478473549,-1.2029847744297963,0.762117682585763,-1.291151082540994,-0.9918779761971812,-0.10231256238886646,-0.7618501641091298,-0.6346925317777945
1009,2002,5,1020,0.2711504221469186,-1.0780283106863933,NA,-1.7145077045385477,-0.8548437500821312,-1.202484996020468,0.6697391768285463,-1.3276524767093156,-0.9514719187175661,0.12357035043190685,-0.7569510588493605,-0.6396743236801541
1011,2017,6,1040,0.19834963325183375,-1.040380713101826,1.0248976478823368,-1.5267815908019655,-0.8292368724338526,-0.9768225620570701,1.2727982180005628,-1.3917443101448586,-0.822056629032457,-0.05351839270820988,-0.6267373106142379,-0.5133378760186191
1011,2012,6,1040,0.22027053518917858,-1.0482741850555573,1.296494591136986,-1.1064626003099136,-0.8356894780085851,-1.0086237992913436,1.281831159411146,-1.034136269094104,-1.0465680653042557,-0.03706604011908227,-0.6606162581711653,-0.5179762583395433
1011,2007,6,1040,0.11886517399917766,-1.0521574151148527,0.1295842264331053,-1.695577994178309,-0.8400005310044073,-1.029925238198098,1.2483469443720614,-1.4602441144458813,-1.0059122834093583,0.14442377094326275,-0.6653376180943528,-0.5348599699877072
1011,2002,6,1040,0.18439974989578992,-1.055318135363036,NA,-1.6033139865219823,-0.8421857507500801,-1.0517872412866087,1.2572626617349676,-1.4511609344304197,-1.0429383878048424,0.21205565994421413,-0.6819899821477579,-0.5453241605037122
1015,2017,5,1020,0.18803418803418803,-1.061115354059307,0.5490098566547893,-1.1309067648058015,-0.8019310796277895,-1.160815069319418,0.9807319922104164,-0.9337391012815914,-1.099257628881208,-0.2509333589979463,-0.7209262374113352,-0.6145180080878215
1015,2012,5,1020,0.2727634590506518,-1.0650077897384544,0.7615389876078564,-2.029159611288447,-0.8167154489186151,-1.169281009757981,0.9845414132538017,-0.7162869028513787,-0.8091085777982431,-0.2532874682574289,-0.7286651019761212,-0.6186374666123728
1015,2007,5,1020,0.23240662455861144,-1.0662067704719345,0.9136445729657647,-1.6490288568109233,-0.8238489296015353,-1.1715637109757087,0.9424367008728287,-0.8934845548323684,-0.8191199884124775,-0.26043593396713427,-0.7313868212933976,-0.619629188109024
1015,2002,5,1020,0.30129346705408194,-1.0670273494998397,NA,-2.029159611288447,-0.8321224063653925,-1.1740237093753958,0.8821037023703231,-0.9096084436358712,-0.9202956917206531,-0.2556228466019577,-0.726369676045888,-0.6287072541168314
1019,2017,5,1020,0.34151282886814105,-0.7988046685334065,0.44458099244143695,0.0995290286815392,-0.6730311208373837,-0.703097769197663,1.3788469775217744,-0.8074463182077489,-0.8344519969560256,-0.2977828115399256,-0.21406852847502036,-0.5035121001710369
1019,2012,5,1020,0.47037310485740286,-0.8106479354146496,0.5372478361440154,0.31208776918911235,-0.6799603757239583,-0.7358574163731862,1.3945860661326517,0.18291293786205215,-0.7424673054108507,-0.303301820412075,-0.24065467978967692,-0.5214159197313059
1019,2007,5,1020,0.4568019093078759,-0.8137090912262592,0.8573032110120069,-0.4794945218991595,-0.6852244546348121,-0.7448293404701097,1.3725918579484666,-0.14942930172484664,-0.6633214880257506,-0.2813462243153772,-0.2468975817178149,-0.5303886964340047
1019,2002,5,1020,0.2714476373190975,-0.8128998700177125,NA,-0.59263828539492025,-0.685909965735657,-0.7544559725416735,1.3364628635009306,-0.9150616910478592,-0.8816631493713922,-0.28338807340245936,-0.22766657347941283,-0.5684499631914992
1031,2017,6,1060,0.41369086620364304,-0.6754404242020264,0.9730851395864938,-0.45499082221185716,-0.7632084194366527,-0.14115810881970603,1.217631453876934,-1.3248919960045027,-0.9590935530695645,-0.2381759557681645,0.15049211741368854,-0.08909058709021951
1031,2012,6,1060,0.3769213892079553,-0.6801803248463811,1.0850087003298148,-0.053601791933474266,-0.7605723734990537,-0.1734725188240283,1.216481652554396,-0.6670789192118065,-0.939364619325649,-0.23493290986333232,0.1358905955882793,-0.11938333835276092
