source,ovr.mean,ovr.sd,ovr.min,ovr.max,ovr.N,between.sd,between.min,between.max,Units,t.bar,within.sd,within.min,within.max
pland_crops_fips,21.466960125603066,26.247064477483057,0,92.84323992,12400,26.235726749656994,0,92.8272335225,3105,3.993558776167472,0.8726834813082046,-28.576851162500006,9.6192056175
pland_crops_year,21.466960125603066,26.247064477483057,0,92.84323992,12400,0.2848658615427798,21.173970771868387,21.830013332932257,5,2480,26.24590496358014,-21.830013332932257,71.66926914813162
cropintensity_fips,398.8905959326382,5795.851547238637,0,236644.53916944948,12140,5417.401612217455,0,210067.98246066677,3105,3.9098228663446055,2058.473248798331,-80435.86701157842,80911.7272347091
cropintensity_year,398.8905959326382,5795.851547238637,0,236644.53916944948,12140,30.372105067213624,364.80012350578926,436.41703122666166,5,2428,5795.791868493695,-436.41703122666166,236208.12213822283
msidi_fips,0.6380247719120967,0.160858842775821,0.021276166,0.880032504,12400,0.16029008091757435,0.0358994265,0.8781780185,3105,3.993558776167472,0.01374313598016557,-0.31110354375000004,0.23617568425000002
msidi_year,0.6380247719120967,0.160858842775821,0.021276166,0.880032504,12400,0.0026724546376683143,0.6341489935480645,0.6398585539264516,5,2480,0.16084219084811685,-0.6128728275480645,0.2413511634519354
mna_crops_fips,38.50694144612774,51.24827180646565,0,680.4516867,12400,51.08312804759036,0,505.60976765,3105,3.993558776167472,4.186976258773307,-137.29955335,174.84191905
mna_crops_year,38.50694144612774,51.24827180646565,0,680.4516867,12400,1.1598825602436555,37.258765575502906,39.99278383629871,5,2480,51.238425874601376,-39.99278383629871,640.4589028637013
largefarm_planted_fips,0.3923369766999351,0.30254875317810387,0,0.987002637942405,15115,0.2895817758044555,0,0.9614825380202294,3105,4.867954911433173,0.09207026651341618,-0.7653115324521058,0.7025761132588777
largefarm_planted_year,0.3923369766999351,0.30254875317810387,0,0.987002637942405,15115,0.030321188971406645,0.35864371466582406,0.4266154516952907,5,3023,0.3013299753553487,-0.4266154516952907,0.619867330747524
te_shared_c_nc_fips,0.44009051087672163,1.3821328342306585,0,131.35714285714286,12400,0.7214691195527787,0,33.452380952380956,3105,3.993558776167472,1.1789399572692856,-32.78571428571429,97.9047619047619
te_shared_c_nc_year,0.44009051087672163,1.3821328342306585,0,131.35714285714286,12400,0.03191524067430294,0.4207916315114611,0.48755141454762113,5,2480,1.3818564226811674,-0.48755141454762113,130.86959144259524
SDI_fips,0.5830996679269242,0.18864156069516652,0,1,9300,0.1718485029550223,0.010186296814710097,0.8952885334998841,3105,2.995169082125604,0.07784652904624066,-0.516625,0.6319933133214999
SDI_year,0.5830996679269242,0.18864156069516652,0,1,9300,0.006240106960795232,0.5758943063782583,0.5867341071162017,5,1860,0.18857273487958176,-0.5867341071162017,0.42410569362174166
soysmallgrain_planted_fips,0.22350279700485431,0.21534881993601884,0,0.9953072067895732,15104,0.20694316582673378,0,0.8880728480910337,3105,4.864412238325282,0.06011750436185708,-0.5982942498045587,0.5647564764286048
soysmallgrain_planted_year,0.22350279700485431,0.21534881993601884,0,0.9953072067895732,15104,0.012923725517675826,0.20744050008973192,0.23864139417687094,5,3020.8,0.21503804574234214,-0.23864139417687094,0.7848008520867813
corn_planted_fips,0.16350770991119906,0.17611796787518044,0,0.845348229060386,15080,0.1717555382350461,0,0.7812391515828983,3105,4.856682769726248,0.03819639121428518,-0.2965947172269052,0.43410852713178294
corn_planted_year,0.16350770991119906,0.17611796787518044,0,0.845348229060386,15080,0.01359134138157534,0.14602569367400783,0.17750673526751926,5,3016,0.17569849500447662,-0.17750673526751926,0.685626542382729
fruitveg_planted_fips,0.03346282040498515,0.09976082093387369,0,1.127228600765425,15150,0.09502462421165614,0,1.0403535949295748,3105,4.879227053140097,0.030315156965867875,-0.7537182068388841,0.66796875
fruitveg_planted_year,0.03346282040498515,0.09976082093387369,0,1.127228600765425,15150,0.0012567014769344527,0.03237958977036232,0.03517845048649622,5,3030,0.09975448933852359,-0.03517845048649622,1.0943603305429705
