term,estimate,std.error,statistic,p.value,model,ERS
pland_crops,0.016605422203210454,0.008246551579861788,2.013620122592959,0.044400526309832544,ERS_twoways_var7,4
cropintensity,1.8317919210519916e-4,3.998424663945172e-4,0.4581284068122459,0.6469908069675991,ERS_twoways_var7,4
msidi,-0.012842871107437103,0.2288642945595146,-0.05611566073316605,0.9552643783605441,ERS_twoways_var7,4
mna_crops,-8.04076748033126e-4,5.938705735256017e-4,-1.3539595728065863,0.17615068655809543,ERS_twoways_var7,4
largefarm_planted,0.3626027123098453,0.027094168363702556,13.383053779041838,7.713212613568958e-37,ERS_twoways_var7,4
te_shared_c_nc,0.48061948317631115,0.30697827790584775,1.5656465547172047,0.11784655147959681,ERS_twoways_var7,4
SDI,0.38214303727217985,0.053416959725770694,7.153964569193128,1.9822385149714446e-12,ERS_twoways_var7,4
pland_crops,0.011869376236419309,0.0063227528892390375,1.8772481614172059,0.0608649098468685,ERS_individual_var7,4
cropintensity,2.541469716396892e-4,3.9978530115405964e-4,0.6357086438797112,0.5251567099832077,ERS_individual_var7,4
msidi,-0.10593709527534617,0.22247174694480737,-0.47618224215063104,0.6340806913336284,ERS_individual_var7,4
mna_crops,-6.932866726973611e-4,5.969530145636303e-4,-1.161375612122757,0.24585189690924472,ERS_individual_var7,4
largefarm_planted,0.37314973283919256,0.02714912886494313,13.74444589715841,1.4231986295881267e-38,ERS_individual_var7,4
te_shared_c_nc,0.5334439055662756,0.3035788649323142,1.7571839386289692,0.07928697405820649,ERS_individual_var7,4
SDI,0.41745283487549867,0.05262300447631399,7.932896250030675,7.609497337499228e-15,ERS_individual_var7,4
pland_crops,-0.0026674279441011883,3.0470143085164423e-4,-8.754235044599872,7.184427753636074e-18,ERS_time_var7,4
cropintensity,-3.1253769861349257e-4,2.1864877890802448e-4,-1.429405186593623,0.15315868701929036,ERS_time_var7,4
msidi,-0.038829069465392364,0.03441858839115014,-1.1281424160723648,0.25949446749551347,ERS_time_var7,4
mna_crops,2.3661299205098095e-4,7.732045008300134e-5,3.060160562916842,0.0022633011962651106,ERS_time_var7,4
largefarm_planted,0.3212690935169711,0.02254155839375276,14.252301810952371,1.4266584606565705e-42,ERS_time_var7,4
te_shared_c_nc,-0.05046417847235615,0.025989280723285175,-1.9417304776404458,0.05241307075074855,ERS_time_var7,4
SDI,-0.03602392091416164,0.028112072917429946,-1.281439508924517,0.2002969791840512,ERS_time_var7,4
pland_crops,0.004219827668722897,0.0038829112108765785,1.086769034765093,0.27736662779093824,ERS_twoways_var6,4
cropintensity,-9.417821330934484e-5,3.65811294931939e-4,-0.257450260869794,0.7968772654555384,ERS_twoways_var6,4
msidi,-0.21112723108151657,0.1564271237934079,-1.349684287236213,0.1773828913466448,ERS_twoways_var6,4
mna_crops,-4.5994183327286364e-4,3.8307454954350213e-4,-1.2006588112443435,0.2301308274803808,ERS_twoways_var6,4
largefarm_planted,0.3432827874021754,0.021422600710428768,16.024328327001932,2.573470559225439e-52,ERS_twoways_var6,4
